A10 Networks PE Ratio Historical Data,A10 Networks PE Ratio Historical Data,A10 Networks PE Ratio Historical Data,A10 Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.43,,26.01
2024-12-31,18.4,$0.67,27.46
2024-09-30,14.39,$0.67,21.47
2024-06-30,13.74,$0.59,23.28
2024-03-31,13.53,$0.61,22.17
2023-12-31,12.95,$0.53,24.44
2023-09-30,14.71,$0.53,27.75
2023-06-30,14.22,$0.60,23.7
2023-03-31,15.03,$0.58,25.92
2022-12-31,16.08,$0.61,26.35
2022-09-30,12.79,$0.50,25.57
2022-06-30,13.81,$1.28,10.79
2022-03-31,13.36,$1.23,10.86
2021-12-31,15.81,$1.18,13.4
2021-09-30,12.82,$1.15,11.15
2021-06-30,10.71,$0.29,36.92
2021-03-31,9.14,$0.26,35.15
2020-12-31,9.38,$0.23,40.76
2020-09-30,6.06,$0.13,46.59
2020-06-30,6.48,$0.05,129.51
2020-03-31,5.9,$-0.08,0.0
2019-12-31,6.53,$-0.24,0.0
2019-09-30,6.6,$-0.26,0.0
2019-06-30,6.48,$-0.28,0.0
2019-03-31,6.74,$-0.26,0.0
2018-12-31,5.93,$-0.10,0.0
2018-09-30,5.78,$-0.08,0.0
2018-06-30,5.92,$-0.10,0.0
2018-03-31,5.53,$-0.16,0.0
2017-12-31,7.34,$-0.22,0.0
2017-09-30,7.19,$-0.25,0.0
2017-06-30,8.03,$-0.28,0.0
2017-03-31,8.7,$-0.24,0.0
2016-12-31,7.9,$-0.33,0.0
2016-09-30,10.16,$-0.42,0.0
2016-06-30,6.15,$-0.49,0.0
2016-03-31,5.63,$-0.57,0.0
2015-12-31,6.24,$-0.64,0.0
2015-09-30,5.7,$-0.78,0.0
2015-06-30,6.12,$-0.85,0.0
2015-03-31,4.12,$-0.71,0.0
2014-12-31,4.15,$-0.94,0.0
