Kforce PE Ratio Historical Data,Kforce PE Ratio Historical Data,Kforce PE Ratio Historical Data,Kforce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.21,,18.36
2024-12-31,56.7,$2.68,21.16
2024-09-30,61.06,$2.90,21.06
2024-06-30,61.36,$2.69,22.81
2024-03-31,69.22,$2.89,23.95
2023-12-31,65.95,$3.13,21.07
2023-09-30,57.93,$2.66,21.78
2023-06-30,60.47,$3.21,18.84
2023-03-31,60.66,$3.56,17.04
2022-12-31,52.29,$3.67,14.25
2022-09-30,55.6,$4.30,12.93
2022-06-30,57.86,$4.17,13.88
2022-03-31,69.47,$3.87,17.95
2021-12-31,70.33,$3.56,19.76
2021-09-30,55.57,$3.44,16.15
2021-06-30,58.38,$3.37,17.32
2021-03-31,49.54,$2.84,17.44
2020-12-31,38.74,$2.64,14.67
2020-09-30,29.46,$2.42,12.18
2020-06-30,26.63,$2.17,12.27
2020-03-31,23.13,$4.76,4.86
2019-12-31,35.7,$5.41,6.6
2019-09-30,33.86,$5.42,6.25
2019-06-30,31.24,$5.42,5.76
2019-03-31,31.11,$3.01,10.33
2018-12-31,27.25,$2.31,11.79
2018-09-30,32.94,$1.90,17.33
2018-06-30,29.92,$1.66,18.02
2018-03-31,23.51,$1.45,16.21
2017-12-31,21.86,$1.31,16.68
2017-09-30,17.4,$1.43,12.17
2017-06-30,16.78,$1.37,12.24
2017-03-31,20.19,$1.34,15.07
2016-12-31,19.54,$1.25,15.63
2016-09-30,17.25,$1.32,13.07
2016-06-30,14.13,$1.46,9.68
2016-03-31,16.28,$1.46,11.15
2015-12-31,20.88,$1.52,13.74
2015-09-30,21.6,$1.39,15.54
2015-06-30,18.72,$2.97,6.3
2015-03-31,18.18,$2.89,6.29
2014-12-31,19.56,$2.88,6.79
2014-09-30,15.79,$2.33,6.78
2014-06-30,17.38,$0.54,32.19
2014-03-31,17.04,$0.42,40.57
2013-12-31,16.28,$0.32,50.86
2013-09-30,14.0,$0.74,18.91
2013-06-30,11.55,$0.73,15.82
2013-03-31,12.95,$-0.38,0.0
2012-12-31,11.35,$-0.35,0.0
2012-09-30,8.65,$-0.32,0.0
2012-06-30,9.87,$-0.36,0.0
2012-03-31,10.93,$0.71,15.4
2011-12-31,9.05,$0.71,12.74
2011-09-30,7.2,$0.67,10.74
2011-06-30,9.6,$0.61,15.73
2011-03-31,13.43,$0.57,23.55
2010-12-31,11.87,$0.52,22.83
2010-09-30,10.07,$0.45,22.37
2010-06-30,9.35,$0.35,26.72
2010-03-31,11.16,$0.32,34.87
2009-12-31,9.17,$0.33,27.79
