Mosaic PE Ratio Historical Data,Mosaic PE Ratio Historical Data,Mosaic PE Ratio Historical Data,Mosaic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.38,,51.6
2024-12-31,24.58,$0.55,44.69
2024-09-30,26.56,$1.13,23.51
2024-06-30,28.44,$0.74,38.43
2024-03-31,31.94,$2.35,13.59
2023-12-31,34.93,$3.49,10.01
2023-09-30,34.6,$3.90,8.87
2023-06-30,33.84,$6.33,5.35
2023-03-31,44.09,$8.07,5.46
2022-12-31,41.78,$9.98,4.19
2022-09-30,45.89,$10.22,4.49
2022-06-30,44.72,$8.77,5.1
2022-03-31,62.81,$7.06,8.9
2021-12-31,37.03,$4.28,8.65
2021-09-30,33.59,$4.69,7.16
2021-06-30,29.94,$3.70,8.09
2021-03-31,29.6,$2.68,11.04
2020-12-31,21.51,$1.73,12.43
2020-09-30,17.04,$-2.87,0.0
2020-06-30,11.64,$-2.96,0.0
2020-03-31,10.03,$-3.68,0.0
2019-12-31,20.0,$-2.80,0.0
2019-09-30,18.89,$-0.08,0.0
2019-06-30,23.0,$0.67,34.33
2019-03-31,25.04,$1.45,17.27
2018-12-31,26.76,$1.22,21.94
2018-09-30,29.74,$-0.30,0.0
2018-06-30,25.66,$-0.29,0.0
2018-03-31,22.19,$-0.19,0.0
2017-12-31,23.43,$-0.30,0.0
2017-09-30,19.69,$0.96,20.51
2017-06-30,20.67,$0.42,49.21
2017-03-31,26.24,$0.11,238.59
2016-12-31,26.15,$0.84,31.13
2016-09-30,21.59,$1.25,17.27
2016-06-30,22.89,$1.59,14.39
2016-03-31,23.35,$2.70,8.65
2015-12-31,23.62,$2.77,8.53
2015-09-30,26.4,$3.30,8.0
2015-06-30,39.49,$3.39,11.65
2015-03-31,38.59,$2.95,13.08
2014-12-31,38.06,$2.69,14.15
2014-09-30,36.82,$2.02,18.23
2014-06-30,40.79,$1.77,23.04
2014-03-31,41.03,$2.27,18.08
2013-12-31,38.59,$1.73,22.31
2013-09-30,34.94,$2.24,15.6
2013-06-30,43.45,$1.95,22.28
2013-05-31,49.11,$0.81,60.63
2013-03-31,47.94,$1.82,26.34
2013-02-28,47.08,$1.01,46.61
2012-11-30,43.3,$1.01,42.87
2012-09-30,45.92,$1.01,45.47
2012-08-31,46.16,0,0.0
2012-05-31,37.84,0,0.0
2012-02-29,45.73,0,0.0
2011-11-30,41.74,0,0.0
2011-08-31,56.22,0,0.0
2011-05-31,55.96,0,0.0
2011-02-28,67.76,0,0.0
2010-11-30,53.35,0,0.0
2010-08-31,46.24,0,0.0
2010-05-31,36.36,0,0.0
2010-02-28,45.94,0,0.0
2009-11-30,42.8,0,0.0
