Ribbon Communications PE Ratio Historical Data,Ribbon Communications PE Ratio Historical Data,Ribbon Communications PE Ratio Historical Data,Ribbon Communications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.01,,0.0
2024-12-31,4.16,$-0.32,0.0
2024-09-30,3.25,$-0.32,0.0
2024-06-30,3.29,$-0.32,0.0
2024-03-31,3.2,$-0.35,0.0
2023-12-31,2.9,$-0.40,0.0
2023-09-30,2.68,$-0.32,0.0
2023-06-30,2.79,$-0.36,0.0
2023-03-31,3.42,$-0.43,0.0
2022-12-31,2.79,$-0.67,0.0
2022-09-30,2.22,$-1.44,0.0
2022-06-30,3.04,$-1.72,0.0
2022-03-31,3.09,$-1.37,0.0
2021-12-31,6.05,$-1.21,0.0
2021-09-30,5.98,$0.25,23.92
2021-06-30,7.61,$0.69,11.03
2021-03-31,8.21,$0.48,17.1
2020-12-31,6.56,$0.52,12.62
2020-09-30,3.87,$-1.65,0.0
2020-06-30,3.93,$-1.68,0.0
2020-03-31,3.03,$-1.17,0.0
2019-12-31,3.1,$-1.19,0.0
2019-09-30,5.84,$0.15,38.93
2019-06-30,4.89,$0.04,122.25
2019-03-31,5.15,$-0.61,0.0
2018-12-31,4.82,$-0.76,0.0
2018-09-30,6.83,$-0.92,0.0
2018-06-30,7.12,$-0.75,0.0
2018-03-31,5.1,$-0.80,0.0
2017-12-31,7.73,$-0.58,0.0
2017-09-30,7.65,$-0.45,0.0
2017-06-30,7.44,$-0.60,0.0
2017-03-31,6.59,$-0.41,0.0
2016-12-31,6.3,$-0.28,0.0
2016-09-30,7.78,$-0.14,0.0
2016-06-30,8.69,$-0.10,0.0
2016-03-31,7.53,$-0.35,0.0
2015-12-31,7.13,$-0.65,0.0
2015-09-30,5.72,$-0.78,0.0
2015-06-30,6.92,$-0.84,0.0
2015-03-31,7.88,$-0.63,0.0
2014-12-31,19.85,$-0.29,0.0
2014-09-30,17.1,$-0.25,0.0
2014-06-30,17.95,$-0.20,0.0
2014-03-31,16.85,$-0.20,0.0
2013-12-31,15.75,$-0.40,0.0
2013-09-30,16.85,$-0.70,0.0
2013-06-30,15.05,$-0.95,0.0
2013-03-31,12.95,$-1.05,0.0
2012-12-31,8.5,$-0.90,0.0
2012-09-30,9.43,$-0.55,0.0
2012-06-30,10.73,$-0.20,0.0
2012-03-31,14.5,$-0.10,0.0
2011-12-31,12.0,$-0.20,0.0
2011-09-30,10.8,$-0.05,0.0
2011-06-30,16.2,$-0.50,0.0
2011-03-31,18.8,$-0.40,0.0
2010-12-31,13.35,$-0.20,0.0
2010-09-30,17.65,$-0.20,0.0
2010-06-30,13.55,$0.15,90.33
2010-03-31,13.15,$0.25,52.6
2009-12-31,10.55,$-0.05,0.0
