Alamos Gold PE Ratio Historical Data,Alamos Gold PE Ratio Historical Data,Alamos Gold PE Ratio Historical Data,Alamos Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.09,,43.48
2024-09-30,19.91,$0.60,33.19
2024-06-30,15.64,$0.50,31.28
2024-03-31,14.69,$0.52,28.25
2023-12-31,13.39,$0.53,25.26
2023-09-30,11.2,$0.51,21.97
2023-06-30,11.8,$0.41,28.79
2023-03-31,12.09,$0.24,50.36
2022-12-31,9.97,$0.10,99.68
2022-09-30,7.29,$0.08,91.09
2022-06-30,6.88,$0.14,49.14
2022-03-31,8.22,$-0.32,0.0
2021-12-31,7.49,$-0.17,0.0
2021-09-30,6.99,$-0.06,0.0
2021-06-30,7.4,$0.05,148.01
2021-03-31,7.53,$0.52,14.49
2020-12-31,8.41,$0.36,23.37
2020-09-30,8.45,$0.27,31.31
2020-06-30,8.99,$0.14,64.18
2020-03-31,4.78,$0.17,28.12
2019-12-31,5.74,$0.24,23.91
2019-09-30,5.52,$-0.04,0.0
2019-06-30,5.75,$-0.06,0.0
2019-03-31,4.82,$-0.14,0.0
2018-12-31,3.41,$-0.18,0.0
2018-09-30,4.35,$-0.01,0.0
2018-06-30,5.37,$0.06,89.56
2018-03-31,4.91,$0.09,54.57
2017-12-31,6.14,$0.09,68.19
2017-09-30,6.36,$0.02,318.19
2017-06-30,6.76,$-0.05,0.0
2017-03-31,7.55,$-0.10,0.0
2016-12-31,6.43,$-0.06,0.0
2016-09-30,7.7,$-0.22,0.0
2016-06-30,8.08,$-0.37,0.0
2016-03-31,4.96,$-0.44,0.0
2015-12-31,3.08,$-0.46,0.0
2015-09-30,3.45,$-0.25,0.0
2015-06-30,5.29,$-0.14,0.0
2015-03-31,5.48,$-0.02,0.0
2014-12-31,6.67,$-0.02,0.0
2014-09-30,7.44,$-0.03,0.0
2014-06-30,9.48,$0.06,158.06
2014-03-31,8.44,$0.12,70.3
2013-12-31,11.34,$0.30,37.82
2013-09-30,14.43,$0.65,22.19
2013-06-30,11.22,$0.79,14.2
2013-03-31,12.63,$0.92,13.73
2012-12-31,16.21,$0.96,16.88
