Huntington Bancshares PE Ratio Historical Data,Huntington Bancshares PE Ratio Historical Data,Huntington Bancshares PE Ratio Historical Data,Huntington Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.95,,12.15
2024-12-31,16.27,$1.23,13.23
2024-09-30,14.7,$1.04,14.13
2024-06-30,13.04,$1.06,12.3
2024-03-31,13.63,$1.11,12.28
2023-12-31,12.28,$1.24,9.91
2023-09-30,9.92,$1.51,6.57
2023-06-30,10.14,$1.55,6.54
2023-03-31,10.39,$1.55,6.7
2022-12-31,12.88,$1.45,8.89
2022-09-30,11.91,$1.29,9.23
2022-06-30,10.75,$1.12,9.6
2022-03-31,12.89,$1.17,11.02
2021-12-31,13.46,$1.36,9.9
2021-09-30,13.36,$1.37,9.75
2021-06-30,12.21,$1.42,8.6
2021-03-31,13.31,$1.15,11.58
2020-12-31,10.6,$0.70,15.14
2020-09-30,7.6,$0.71,10.71
2020-06-30,7.38,$0.78,9.46
2020-03-31,6.61,$0.98,6.74
2019-12-31,11.92,$1.27,9.39
2019-09-30,11.17,$1.28,8.73
2019-06-30,10.71,$1.27,8.43
2019-03-31,9.73,$1.24,7.84
2018-12-31,9.05,$1.20,7.54
2018-09-30,11.33,$1.28,8.85
2018-06-30,11.11,$1.18,9.41
2018-03-31,11.28,$1.11,10.16
2017-12-31,10.81,$1.00,10.81
2017-09-30,10.28,$0.81,12.69
2017-06-30,9.9,$0.69,14.34
2017-03-31,9.74,$0.65,14.99
2016-12-31,9.56,$0.68,14.06
2016-09-30,7.09,$0.71,9.99
2016-06-30,6.38,$0.78,8.18
2016-03-31,6.76,$0.82,8.24
2015-12-31,7.78,$0.81,9.61
2015-09-30,7.41,$0.79,9.38
2015-06-30,7.86,$0.79,9.95
2015-03-31,7.64,$0.75,10.19
2014-12-31,7.24,$0.73,9.91
2014-09-30,6.65,$0.72,9.24
2014-06-30,6.49,$0.74,8.77
2014-03-31,6.75,$0.72,9.37
2013-12-31,6.5,$0.72,9.03
2013-09-30,5.53,$0.73,7.58
2013-06-30,5.24,$0.72,7.28
2013-03-31,4.88,$0.72,6.77
2012-12-31,4.21,$0.72,5.84
2012-09-30,4.51,$0.67,6.73
2012-06-30,4.16,$0.64,6.5
2012-03-31,4.16,$0.63,6.61
2011-12-31,3.52,$0.60,5.87
2011-09-30,3.06,$0.51,6.0
2011-06-30,4.15,$0.45,9.21
2011-03-31,4.19,$0.32,13.1
2010-12-31,4.33,$0.19,22.79
2010-09-30,3.58,$-0.42,0.0
2010-06-30,3.48,$-0.85,0.0
2010-03-31,3.38,$-1.28,0.0
2009-12-31,2.28,$-8.08,0.0
