Energy Focus PE Ratio Historical Data,Energy Focus PE Ratio Historical Data,Energy Focus PE Ratio Historical Data,Energy Focus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.06,,0.0
2024-09-30,1.19,$-0.39,0.0
2024-06-30,1.39,$-0.60,0.0
2024-03-31,1.59,$-0.90,0.0
2023-12-31,1.51,$-1.37,0.0
2023-09-30,2.0,$-2.79,0.0
2023-06-30,1.81,$-4.55,0.0
2023-03-31,3.92,$-6.58,0.0
2022-12-31,2.21,$-9.10,0.0
2022-09-30,3.64,$-11.06,0.0
2022-06-30,9.1,$-10.57,0.0
2022-03-31,9.52,$-12.25,0.0
2021-12-31,29.89,$-12.32,0.0
2021-09-30,21.7,$-8.75,0.0
2021-06-30,27.86,$-9.66,0.0
2021-03-31,32.2,$-15.05,0.0
2020-12-31,28.21,$-13.30,0.0
2020-09-30,48.09,$-17.21,0.0
2020-06-30,48.44,$-17.56,0.0
2020-03-31,11.55,$-14.35,0.0
2019-12-31,16.56,$-21.34,0.0
2019-09-30,16.47,$-26.24,0.0
2019-06-30,14.34,$-29.04,0.0
2019-03-31,42.7,$-27.99,0.0
2018-12-31,21.65,$-26.59,0.0
2018-09-30,71.75,$-23.44,0.0
2018-06-30,66.5,$-23.09,0.0
2018-03-31,89.25,$-26.94,0.0
2017-12-31,85.75,$-33.59,0.0
2017-09-30,95.55,$-51.43,0.0
2017-06-30,92.05,$-55.63,0.0
2017-03-31,115.15,$-58.43,0.0
2016-12-31,148.75,$-50.73,0.0
2016-09-30,171.15,$-23.44,0.0
2016-06-30,218.4,$0.00,0.0
2016-03-31,260.05,$19.24,13.51
2015-12-31,481.25,$29.04,16.57
2015-09-30,413.35,$22.39,18.46
2015-06-30,305.9,$6.65,46.01
