1895 Bancorp Of Wisconsin PE Ratio Historical Data,1895 Bancorp Of Wisconsin PE Ratio Historical Data,1895 Bancorp Of Wisconsin PE Ratio Historical Data,1895 Bancorp Of Wisconsin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-07,9.4,,0.0
2024-09-30,10.1,$-0.60,0.0
2024-06-30,8.18,$-1.23,0.0
2024-03-31,6.82,$-1.23,0.0
2023-12-31,6.99,$-1.24,0.0
2023-09-30,7.06,$-0.82,0.0
2023-06-30,7.49,$-0.14,0.0
2023-03-31,8.04,$-0.09,0.0
2022-12-31,10.0,$-0.03,0.0
2022-09-30,10.4,$-0.08,0.0
2022-06-30,10.25,$-0.12,0.0
2022-03-31,10.85,$-0.09,0.0
2021-12-31,10.99,$0.00,0.0
2021-09-30,10.92,$0.11,95.45
2021-06-30,15.03,$0.20,74.09
2021-03-31,14.24,$0.24,58.55
2020-12-31,9.96,$0.21,48.54
2020-09-30,9.26,$0.14,64.13
2020-06-30,9.1,$0.14,63.02
2020-03-31,7.89,$0.11,69.21
2019-12-31,10.78,$-0.01,0.0
