ESS Tech PE Ratio Historical Data,ESS Tech PE Ratio Historical Data,ESS Tech PE Ratio Historical Data,ESS Tech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.32,,0.0
2024-09-30,6.32,$-6.55,0.0
2024-06-30,0.82,$-6.30,0.0
2024-03-31,0.72,$-6.75,0.0
2023-12-31,1.14,$-7.35,0.0
2023-09-30,1.88,$-8.40,0.0
2023-06-30,1.47,$-9.90,0.0
2023-03-31,1.39,$-9.15,0.0
2022-12-31,2.43,$-7.65,0.0
2022-09-30,4.09,$-25.19,0.0
2022-06-30,2.81,$-109.30,0.0
2022-03-31,5.57,$-107.80,0.0
2021-12-31,11.44,$-107.20,0.0
2021-09-30,9.97,$-87.26,0.0
