Daxor PE Ratio Historical Data,Daxor PE Ratio Historical Data,Daxor PE Ratio Historical Data,Daxor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.39,,0.0
2011-12-31,8.64,$-1.69,0.0
2011-09-30,9.93,$-0.81,0.0
2011-06-30,9.57,$0.80,11.96
2011-03-31,9.51,$0.88,10.8
2010-12-31,8.58,$1.17,7.33
2010-09-30,8.0,$0.29,27.6
2010-06-30,8.55,$0.29,29.5
2010-03-31,9.5,$1.71,5.55
2009-12-31,10.15,$1.37,7.41
