Educational Development PE Ratio Historical Data,Educational Development PE Ratio Historical Data,Educational Development PE Ratio Historical Data,Educational Development PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.28,,0.0
2024-11-30,1.83,$-0.66,0.0
2024-08-31,2.03,$-0.32,0.0
2024-05-31,1.87,$0.03,62.33
2024-02-29,1.84,$0.07,26.29
2023-11-30,0.85,$0.02,42.51
2023-08-31,1.52,$-0.22,0.0
2023-05-31,1.22,$-0.45,0.0
2023-02-28,3.68,$-0.31,0.0
2022-11-30,2.98,$-0.03,0.0
2022-08-31,3.17,$0.28,11.32
2022-05-31,4.51,$0.61,7.39
2022-02-28,7.88,$0.99,7.96
2021-11-30,9.04,$1.20,7.53
2021-08-31,9.45,$1.40,6.75
2021-05-31,13.8,$1.68,8.22
2021-02-28,14.96,$1.50,9.98
2020-11-30,14.99,$1.31,11.44
2020-08-31,14.5,$1.13,12.83
2020-05-31,7.72,$0.74,10.43
2020-02-29,4.83,$0.68,7.1
2019-11-30,5.65,$0.69,8.18
2019-08-31,5.41,$0.70,7.73
2019-05-31,6.64,$0.76,8.73
2019-02-28,7.3,$0.81,9.01
2018-11-30,8.78,$0.84,10.46
2018-08-31,10.71,$0.76,14.09
2018-05-31,10.04,$0.71,14.24
2018-02-28,8.6,$0.64,13.54
2017-11-30,6.2,$0.62,10.07
2017-08-31,4.69,$0.51,9.19
2017-05-31,4.38,$0.43,10.29
2017-02-28,4.24,$0.35,12.12
2016-11-30,3.98,$0.26,15.61
2016-08-31,5.28,$0.26,20.71
2016-05-31,4.61,$0.30,15.63
2016-02-29,4.87,$0.26,18.75
2015-11-30,5.91,$0.29,20.75
2015-08-31,2.55,$0.20,13.09
2015-05-31,2.0,$0.11,18.2
2015-02-28,1.76,$0.10,17.57
2014-11-30,1.69,$0.05,33.85
2014-08-31,1.93,$0.06,35.13
2014-05-31,1.49,$0.07,22.86
2014-02-28,1.42,$0.05,31.47
2013-11-30,1.12,$0.06,20.43
2013-08-31,1.1,$0.05,22.03
2013-05-31,1.25,$0.07,19.16
2013-02-28,1.34,$0.10,13.44
2012-11-30,1.29,$0.17,7.81
2012-08-31,1.28,$0.20,6.57
2012-05-31,1.39,$0.19,7.32
2012-02-29,1.53,$0.19,8.25
2011-11-30,1.58,$0.15,10.52
2011-08-31,1.53,$0.16,9.88
2011-05-31,1.59,$0.17,9.64
2011-02-28,1.84,$0.15,12.27
2010-11-30,1.69,$0.19,8.92
2010-08-31,1.55,$0.21,7.37
2010-05-31,1.59,$0.22,7.38
2010-02-28,1.59,$0.25,6.49
2009-11-30,1.39,$0.27,5.23
