Element Solutions PE Ratio Historical Data,Element Solutions PE Ratio Historical Data,Element Solutions PE Ratio Historical Data,Element Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.23,,25.72
2024-12-31,25.43,$1.02,24.93
2024-09-30,27.08,$1.11,24.4
2024-06-30,26.96,$0.81,33.29
2024-03-31,24.84,$0.54,45.99
2023-12-31,22.93,$0.49,46.79
2023-09-30,19.36,$0.22,87.99
2023-06-30,18.88,$0.57,33.12
2023-03-31,18.9,$0.71,26.62
2022-12-31,17.74,$0.76,23.34
2022-09-30,15.8,$0.72,21.94
2022-06-30,17.21,$0.65,26.48
2022-03-31,21.1,$0.72,29.3
2021-12-31,23.31,$0.82,28.43
2021-09-30,20.75,$0.93,22.31
2021-06-30,22.31,$0.93,23.99
2021-03-31,17.41,$0.61,28.54
2020-12-31,16.83,$0.31,54.29
2020-09-30,9.94,$0.48,20.71
2020-06-30,10.26,$0.30,34.21
2020-03-31,7.91,$0.30,26.36
2019-12-31,11.05,$0.36,30.69
2019-09-30,9.63,$0.19,50.69
2019-06-30,9.78,$-1.20,0.0
2019-03-31,9.55,$-1.17,0.0
2018-12-31,9.77,$-1.13,0.0
2018-09-30,11.8,$-1.74,0.0
2018-06-30,10.97,$-0.56,0.0
2018-03-31,9.11,$-0.81,0.0
2017-12-31,9.38,$-1.03,0.0
2017-09-30,10.55,$-0.53,0.0
2017-06-30,12.0,$-0.44,0.0
2017-03-31,12.32,$-0.27,0.0
2016-12-31,9.28,$-0.77,0.0
2016-09-30,7.67,$-1.38,0.0
2016-06-30,8.4,$-1.81,0.0
2016-03-31,8.14,$-1.83,0.0
2015-12-31,12.14,$-1.38,0.0
2015-09-30,11.97,$-2.37,0.0
2015-06-30,24.2,$-1.71,0.0
2015-03-31,24.27,$-1.65,0.0
2014-12-31,21.97,$-1.58,0.0
2014-09-30,23.67,$0.01,0.0
