Akero Therapeutics PE Ratio Historical Data,Akero Therapeutics PE Ratio Historical Data,Akero Therapeutics PE Ratio Historical Data,Akero Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.66,,0.0
2024-12-31,27.82,$-3.75,0.0
2024-09-30,28.69,$-3.75,0.0
2024-06-30,23.46,$-3.41,0.0
2024-03-31,25.26,$-3.20,0.0
2023-12-31,23.35,$-2.85,0.0
2023-09-30,50.58,$-2.35,0.0
2023-06-30,46.69,$-2.56,0.0
2023-03-31,38.26,$-2.73,0.0
2022-12-31,54.8,$-2.92,0.0
2022-09-30,34.05,$-3.36,0.0
2022-06-30,9.45,$-3.14,0.0
2022-03-31,14.19,$-3.20,0.0
2021-12-31,21.15,$-2.89,0.0
2021-09-30,22.35,$-2.82,0.0
2021-06-30,24.81,$-2.75,0.0
2021-03-31,29.01,$-2.49,0.0
2020-12-31,25.8,$-2.48,0.0
2020-09-30,30.79,$-2.17,0.0
2020-06-30,24.92,$-2.10,0.0
2020-03-31,21.2,$-3.74,0.0
