Federal Agricultural Mortgage PE Ratio Historical Data,Federal Agricultural Mortgage PE Ratio Historical Data,Federal Agricultural Mortgage PE Ratio Historical Data,Federal Agricultural Mortgage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,192.54,,11.7
2024-12-31,196.95,$16.45,11.97
2024-09-30,186.17,$15.55,11.97
2024-06-30,178.29,$16.38,10.88
2024-03-31,192.53,$16.40,11.74
2023-12-31,185.59,$15.81,11.74
2023-09-30,148.86,$15.44,9.64
2023-06-30,137.76,$13.93,9.89
2023-03-31,126.71,$13.83,9.16
2022-12-31,106.3,$13.91,7.64
2022-09-30,92.75,$13.30,6.97
2022-06-30,90.53,$12.36,7.32
2022-03-31,99.54,$11.11,8.96
2021-12-31,112.88,$9.92,11.38
2021-09-30,98.11,$9.90,9.91
2021-06-30,88.61,$9.39,9.44
2021-03-31,89.47,$9.98,8.96
2020-12-31,65.38,$8.27,7.91
2020-09-30,55.47,$8.24,6.73
2020-06-30,55.11,$7.84,7.03
2020-03-31,47.32,$7.53,6.28
2019-12-31,70.03,$8.69,8.06
2019-09-30,67.9,$7.81,8.69
2019-06-30,59.94,$8.94,6.7
2019-03-31,59.17,$8.76,6.75
2018-12-31,48.93,$8.83,5.54
2018-09-30,57.85,$8.56,6.76
2018-06-30,71.19,$7.81,9.12
2018-03-31,68.79,$6.98,9.86
2017-12-31,61.45,$6.61,9.3
2017-09-30,56.85,$7.44,7.64
2017-06-30,50.29,$7.27,6.92
2017-03-31,44.5,$6.78,6.56
2016-12-31,44.01,$5.99,7.35
2016-09-30,30.22,$4.96,6.09
2016-06-30,26.46,$4.16,6.36
2016-03-31,28.46,$4.97,5.73
2015-12-31,23.65,$4.19,5.64
2015-09-30,19.32,$3.34,5.78
2015-06-30,21.52,$3.62,5.95
2015-03-31,20.77,$3.46,6.0
2014-12-31,22.25,$3.37,6.6
2014-09-30,23.45,$3.98,5.89
2014-06-30,22.58,$4.33,5.22
2014-03-31,24.05,$5.03,4.78
2013-12-31,24.67,$6.41,3.85
2013-09-30,23.95,$6.17,3.88
2013-06-30,20.65,$6.29,3.28
2013-03-31,21.92,$3.40,6.45
2012-12-31,23.06,$3.99,5.78
2012-09-30,18.2,$4.35,4.18
2012-06-30,18.48,$0.64,28.87
2012-03-31,15.93,$1.55,10.28
2011-12-31,12.59,$1.23,10.23
2011-09-30,13.25,$1.16,11.42
2011-06-30,15.36,$3.94,3.9
2011-03-31,13.24,$3.61,3.67
2010-12-31,11.25,$2.06,5.46
2010-09-30,7.43,$1.43,5.2
2010-06-30,9.59,$2.61,3.68
2010-03-31,7.72,$4.93,1.57
2009-12-31,4.73,$8.07,0.59
