The9 PE Ratio Historical Data,The9 PE Ratio Historical Data,The9 PE Ratio Historical Data,The9 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.01,,0.0
2024-06-30,8.73,$-822.08,0.0
2013-06-30,1119.0,"$-1,152.12",0.0
2013-03-31,774.0,"$-1,020.10",0.0
2012-12-31,885.0,"$-1,002.10",0.0
2012-09-30,1419.0,"$-1,020.10",0.0
2012-06-30,1737.0,$-867.09,0.0
2012-03-31,1731.0,$-660.07,0.0
2011-12-31,2136.0,$-540.06,0.0
2011-09-30,1089.0,$-819.08,0.0
2011-06-30,1665.0,$-765.08,0.0
2011-03-31,1965.0,$-861.09,0.0
2010-12-31,2088.0,$-897.09,0.0
2010-09-30,1557.0,$-732.07,0.0
2010-06-30,1194.0,$-738.07,0.0
2010-03-31,2109.0,$-759.08,0.0
2009-12-31,2166.0,$-705.07,0.0
