Atlantic Union Bankshares PE Ratio Historical Data,Atlantic Union Bankshares PE Ratio Historical Data,Atlantic Union Bankshares PE Ratio Historical Data,Atlantic Union Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.29,,14.1
2024-12-31,37.88,$2.29,16.54
2024-09-30,37.37,$2.41,15.5
2024-06-30,32.3,$2.27,14.23
2024-03-31,34.38,$2.72,12.64
2023-12-31,35.24,$2.54,13.87
2023-09-30,27.46,$2.72,10.09
2023-06-30,24.53,$2.78,8.82
2023-03-31,32.74,$2.87,11.41
2022-12-31,32.57,$2.97,10.97
2022-09-30,27.91,$2.66,10.49
2022-06-30,30.89,$2.86,10.8
2022-03-31,33.14,$3.12,10.62
2021-12-31,33.45,$3.25,10.29
2021-09-30,32.81,$3.38,9.71
2021-06-30,32.01,$3.18,10.07
2021-03-31,33.67,$2.52,13.36
2020-12-31,28.71,$1.94,14.8
2020-09-30,18.47,$1.91,9.67
2020-06-30,19.8,$1.82,10.88
2020-03-31,18.49,$2.02,9.15
2019-12-31,31.48,$2.40,13.12
2019-09-30,31.02,$2.38,13.03
2019-06-30,29.23,$2.31,12.65
2019-03-31,26.57,$2.44,10.89
2018-12-31,23.04,$2.22,10.38
2018-09-30,31.24,$1.90,16.44
2018-06-30,31.35,$1.79,17.52
2018-03-31,29.45,$1.48,19.9
2017-12-31,28.85,$1.67,17.27
2017-09-30,27.98,$1.80,15.54
2017-06-30,26.7,$1.80,14.83
2017-03-31,27.54,$1.83,15.05
2016-12-31,27.83,$1.77,15.72
2016-09-30,20.7,$1.69,12.25
2016-06-30,18.97,$1.62,11.71
2016-03-31,18.77,$1.52,12.35
2015-12-31,19.07,$1.49,12.8
2015-09-30,18.0,$1.42,12.68
2015-06-30,17.31,$1.35,12.82
2015-03-31,16.41,$1.33,12.34
2014-12-31,17.67,$1.15,15.37
2014-09-30,16.84,$1.14,14.78
2014-06-30,18.59,$1.13,16.45
2014-03-31,18.32,$1.19,15.39
2013-12-31,17.78,$1.38,12.88
2013-09-30,16.65,$1.43,11.64
2013-06-30,14.58,$1.48,9.85
2013-03-31,13.76,$1.42,9.69
2012-12-31,11.01,$1.37,8.04
2012-09-30,10.78,$1.28,8.42
2012-06-30,9.94,$1.24,8.02
2012-03-31,9.58,$1.16,8.25
2011-12-31,9.04,$1.07,8.45
2011-09-30,7.25,$0.94,7.72
2011-06-30,8.19,$0.90,9.1
2011-03-31,7.52,$0.98,7.68
2010-12-31,9.82,$0.82,11.98
2010-09-30,8.63,$0.69,12.51
2010-06-30,8.06,$0.53,15.22
2010-03-31,9.9,$0.22,44.99
2009-12-31,8.08,$0.23,35.15
