DTE Energy PE Ratio Historical Data,DTE Energy PE Ratio Historical Data,DTE Energy PE Ratio Historical Data,DTE Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,136.94,,20.23
2024-12-31,120.75,$6.77,17.84
2024-09-30,127.27,$7.38,17.24
2024-06-30,109.14,$6.69,16.31
2024-03-31,109.25,$6.11,17.88
2023-12-31,106.41,$6.76,15.74
2023-09-30,94.94,$6.05,15.69
2023-06-30,104.28,$6.43,16.22
2023-03-31,102.96,$5.65,18.22
2022-12-31,109.5,$5.52,19.84
2022-09-30,106.31,$5.78,18.39
2022-06-30,116.33,$3.92,29.68
2022-03-31,120.43,$4.65,25.9
2021-12-31,108.13,$4.67,23.15
2021-09-30,100.28,$4.52,22.19
2021-06-30,115.51,$6.85,16.86
2021-03-31,116.72,$7.37,15.84
2020-12-31,105.53,$7.08,14.91
2020-09-30,99.11,$7.06,14.04
2020-06-30,91.79,$6.33,14.5
2020-03-31,80.31,$5.88,13.66
2019-12-31,108.69,$6.31,17.22
2019-09-30,110.38,$5.96,18.52
2019-06-30,105.39,$6.07,17.36
2019-03-31,102.05,$6.37,16.02
2018-12-31,89.56,$6.18,14.49
2018-09-30,87.91,$6.73,13.06
2018-06-30,82.82,$6.40,12.94
2018-03-31,82.69,$6.10,13.56
2017-12-31,85.95,$6.33,13.58
2017-09-30,83.65,$5.46,15.32
2017-06-30,81.82,$5.83,14.03
2017-03-31,78.39,$5.68,13.8
2016-12-31,75.01,$4.82,15.56
2016-09-30,70.72,$4.54,15.58
2016-06-30,74.22,$4.13,17.97
2016-03-31,67.36,$3.90,17.27
2015-12-31,59.1,$4.06,14.56
2015-09-30,58.7,$5.29,11.1
2015-06-30,54.01,$4.70,11.49
2015-03-31,57.85,$4.79,12.08
2014-12-31,61.38,$5.10,12.04
2014-09-30,53.62,$4.12,13.02
2014-06-30,54.4,$4.37,12.45
2014-03-31,51.44,$4.27,12.05
2013-12-31,45.55,$3.77,12.08
2013-09-30,44.82,$3.54,12.66
2013-06-30,45.07,$3.72,12.12
2013-03-31,45.52,$3.98,11.44
2012-12-31,39.63,$3.55,11.16
2012-09-30,39.16,$3.96,9.89
2012-06-30,38.36,$3.72,10.31
2012-03-31,35.24,$4.05,8.7
2011-12-31,34.49,$4.18,8.25
2011-09-30,30.7,$4.20,7.31
2011-06-30,30.97,$4.09,7.57
2011-03-31,29.95,$3.41,8.78
2010-12-31,27.4,$3.75,7.31
2010-09-30,27.43,$3.57,7.68
2010-06-30,26.92,$3.57,7.54
2010-03-31,26.04,$3.57,7.29
2009-12-31,25.15,$3.28,7.67
