PBF Energy PE Ratio Historical Data,PBF Energy PE Ratio Historical Data,PBF Energy PE Ratio Historical Data,PBF Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.89,,0.0
2024-12-31,26.55,$-4.71,0.0
2024-09-30,30.67,$-2.59,0.0
2024-06-30,45.3,$6.01,7.54
2024-03-31,56.38,$14.45,3.9
2023-12-31,42.82,$16.45,2.6
2023-09-30,51.85,$21.71,2.39
2023-06-30,39.49,$24.00,1.65
2023-03-31,41.59,$25.77,1.61
2022-12-31,38.93,$22.73,1.71
2022-09-30,33.42,$19.23,1.74
2022-06-30,27.59,$11.32,2.44
2022-03-31,23.17,$2.06,11.25
2021-12-31,12.33,$1.90,6.49
2021-09-30,12.33,$-1.93,0.0
2021-06-30,14.54,$-5.91,0.0
2021-03-31,13.45,$-3.07,0.0
2020-12-31,6.75,$-11.66,0.0
2020-09-30,5.41,$-8.75,0.0
2020-06-30,9.73,$-4.69,0.0
2020-03-31,6.73,$-8.19,0.0
2019-12-31,29.47,$2.63,11.2
2019-09-30,25.31,$-0.78,0.0
2019-06-30,28.74,$0.15,191.6
2019-03-31,28.3,$2.79,10.14
2018-12-31,29.42,$1.17,25.14
2018-09-30,44.59,$6.28,7.1
2018-06-30,37.23,$7.63,4.88
2018-03-31,29.88,$4.25,7.03
2017-12-31,30.95,$3.69,8.39
2017-09-30,23.87,$2.09,11.42
2017-06-30,18.98,$-0.33,0.0
2017-03-31,18.65,$1.74,10.72
2016-12-31,23.17,$1.73,13.39
2016-09-30,18.57,$-0.05,0.0
2016-06-30,19.25,$0.01,1925.02
2016-03-31,26.61,$0.52,51.17
2015-12-31,29.16,$1.82,16.02
2015-09-30,22.18,$-0.28,0.0
2015-06-30,22.12,$0.83,26.64
2015-03-31,26.11,$-0.45,0.0
2014-12-31,20.31,$-0.03,0.0
2014-09-30,18.08,$3.63,4.98
2014-06-30,19.84,$1.53,12.97
2014-03-31,19.02,$1.97,9.66
2013-12-31,22.92,$1.03,22.26
2013-09-30,16.18,$0.79,20.49
