Spectrum Brands Holdings PE Ratio Historical Data,Spectrum Brands Holdings PE Ratio Historical Data,Spectrum Brands Holdings PE Ratio Historical Data,Spectrum Brands Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.07,,17.22
2024-12-31,84.49,$4.07,20.76
2024-09-30,94.65,$4.08,23.2
2024-06-30,85.11,$3.54,24.04
2024-03-31,87.76,$49.40,1.78
2023-12-31,78.25,$46.08,1.7
2023-09-30,76.39,$44.72,1.71
2023-06-30,75.71,$44.61,1.7
2023-03-31,63.87,$-0.66,0.0
2022-12-31,58.37,$1.04,56.12
2022-09-30,37.08,$1.75,21.19
2022-06-30,77.43,$2.55,30.37
2022-03-31,83.35,$2.47,33.74
2021-12-31,95.13,$2.93,32.47
2021-09-30,89.11,$4.41,20.21
2021-06-30,78.79,$4.30,18.32
2021-03-31,78.39,$6.94,11.3
2020-12-31,72.47,$4.83,15.0
2020-09-30,52.11,$2.40,21.71
2020-06-30,41.56,$-1.16,0.0
2020-03-31,32.56,$-5.05,0.0
2019-12-31,57.16,$10.28,5.56
2019-09-30,46.55,$8.92,5.22
2019-06-30,47.1,$9.12,5.16
2019-03-31,47.66,$21.16,2.25
2018-12-31,36.48,$5.97,6.11
2018-09-30,63.98,$23.65,2.71
2018-06-30,69.18,$25.15,2.75
2018-03-31,87.14,$13.70,6.36
2017-12-31,89.57,$12.28,7.3
2017-09-30,82.49,$3.29,25.11
2017-06-30,93.59,$3.84,24.35
2017-03-31,102.1,$-0.31,0.0
2016-12-31,82.23,$1.12,73.69
2016-09-30,82.97,$-6.51,0.0
2016-06-30,72.56,$-10.79,0.0
2016-03-31,73.61,$-9.05,0.0
2015-12-31,71.66,$-15.13,0.0
2015-09-30,61.99,$-17.55,0.0
2015-06-30,68.7,$-13.21,0.0
2015-03-31,65.95,$-9.11,0.0
2014-12-31,74.83,$-5.83,0.0
2014-09-30,69.33,$-4.09,0.0
2014-06-30,67.11,$-12.90,0.0
2014-03-31,64.63,$-11.84,0.0
2013-12-31,62.62,$-9.98,0.0
2013-09-30,54.8,$-8.06,0.0
2013-06-30,39.85,$5.77,6.91
2013-03-31,43.65,$-3.66,0.0
2012-12-31,40.64,$-1.74,0.0
2012-09-30,44.55,$-1.55,0.0
2012-06-30,41.17,$-11.16,0.0
2012-03-31,27.37,$1.86,14.72
2011-12-31,21.19,$-0.81,0.0
2011-09-30,26.79,$-1.18,0.0
2011-06-30,32.29,$1.12,28.94
2011-03-31,27.53,$-6.26,0.0
2010-12-31,32.71,$-4.34,0.0
2010-09-30,29.33,$-4.34,0.0
2010-06-30,33.19,$-1.98,0.0
2010-03-31,35.78,$-1.12,0.0
2009-12-31,37.1,$-0.50,0.0
