Capital City Bank Group PE Ratio Historical Data,Capital City Bank Group PE Ratio Historical Data,Capital City Bank Group PE Ratio Historical Data,Capital City Bank Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.96,,15.73
2024-12-31,36.65,$2.35,15.6
2024-09-30,35.08,$3.05,11.5
2024-06-30,28.08,$3.05,9.21
2024-03-31,27.14,$3.07,8.84
2023-12-31,28.62,$3.21,8.92
2023-09-30,28.8,$3.19,9.03
2023-06-30,29.39,$3.08,9.54
2023-03-31,27.95,$2.74,10.2
2022-12-31,30.84,$2.36,13.07
2022-09-30,29.38,$2.06,14.26
2022-06-30,26.2,$1.99,13.17
2022-03-31,24.62,$1.92,12.82
2021-12-31,24.51,$1.98,12.38
2021-09-30,22.83,$2.06,11.08
2021-06-30,23.64,$2.08,11.36
2021-03-31,23.71,$2.19,10.83
2020-12-31,22.28,$1.88,11.85
2020-09-30,16.93,$1.93,8.77
2020-06-30,18.74,$1.81,10.35
2020-03-31,17.89,$1.70,10.52
2019-12-31,26.96,$1.83,14.73
2019-09-30,24.16,$1.82,13.27
2019-06-30,21.75,$1.67,13.03
2019-03-31,18.98,$1.58,12.01
2018-12-31,20.13,$1.54,13.07
2018-09-30,20.17,$1.04,19.4
2018-06-30,20.35,$0.96,21.2
2018-03-31,21.25,$0.82,25.92
2017-12-31,19.64,$0.64,30.69
2017-09-30,20.5,$0.84,24.41
2017-06-30,17.38,$0.74,23.48
2017-03-31,18.15,$0.75,24.21
2016-12-31,17.34,$0.69,25.13
2016-09-30,12.47,$0.65,19.19
2016-06-30,11.72,$0.57,20.56
2016-03-31,12.25,$0.57,21.5
2015-12-31,12.86,$0.53,24.26
2015-09-30,12.47,$0.48,25.97
2015-06-30,12.73,$0.51,24.97
2015-03-31,13.52,$0.37,36.55
2014-12-31,12.91,$0.53,24.35
2014-09-30,11.22,$0.58,19.35
2014-06-30,12.03,$0.55,21.87
2014-03-31,10.98,$0.52,21.11
2013-12-31,9.71,$0.35,27.75
2013-09-30,9.72,$0.30,32.41
2013-06-30,9.52,$0.28,33.98
2013-03-31,10.19,$0.13,78.4
2012-12-31,9.38,$0.01,0.0
2012-09-30,8.78,$-0.13,0.0
2012-06-30,6.08,$-0.08,0.0
2012-03-31,6.15,$0.14,43.92
2011-12-31,7.88,$0.29,27.18
2011-09-30,8.57,$0.44,19.47
2011-06-30,8.39,$0.34,24.66
2011-03-31,10.26,$0.26,39.47
2010-12-31,10.12,$-0.02,0.0
2010-09-30,9.67,$-0.34,0.0
2010-06-30,9.78,$-0.44,0.0
2010-03-31,11.18,$-0.44,0.0
2009-12-31,10.7,$-0.20,0.0
