Viracta Therapeutics PE Ratio Historical Data,Viracta Therapeutics PE Ratio Historical Data,Viracta Therapeutics PE Ratio Historical Data,Viracta Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-02-28,0.02,,0.0
2024-09-30,0.23,$-1.10,0.0
2024-06-30,0.54,$-1.16,0.0
2024-03-31,1.02,$-1.23,0.0
2023-12-31,0.57,$-1.32,0.0
2023-09-30,1.04,$-1.24,0.0
2023-06-30,1.41,$-1.38,0.0
2023-03-31,1.59,$-1.34,0.0
2022-12-31,1.46,$-1.30,0.0
2022-09-30,4.27,$-1.34,0.0
2022-06-30,3.88,$-1.27,0.0
2022-03-31,4.76,$-1.24,0.0
2021-12-31,3.65,$-6.18,0.0
2021-09-30,8.02,$-5.87,0.0
2021-06-30,11.34,$-6.49,0.0
2021-03-31,9.25,$-8.34,0.0
2020-12-31,1.99,$-4.87,0.0
2020-09-30,1.25,$-6.62,0.0
2020-06-30,0.26,$-7.70,0.0
2020-03-31,0.41,$-8.75,0.0
2019-12-31,0.34,$-10.50,0.0
2019-09-30,0.72,$-14.35,0.0
2019-06-30,0.73,$-18.55,0.0
2019-03-31,1.22,$-22.40,0.0
2018-12-31,0.42,$-26.25,0.0
2018-09-30,2.0,$-28.00,0.0
2018-06-30,2.12,$-36.75,0.0
2018-03-31,2.72,$-44.10,0.0
2017-12-31,3.69,$-53.20,0.0
2017-09-30,1.94,$-61.25,0.0
2017-06-30,2.7,$-67.90,0.0
2017-03-31,4.1,$-78.75,0.0
2016-12-31,3.62,$-87.49,0.0
2016-09-30,4.37,$-103.59,0.0
2016-06-30,3.29,$-100.78,0.0
2016-03-31,3.24,$-107.08,0.0
2015-12-31,5.39,$-109.18,0.0
2015-09-30,4.86,$-81.89,0.0
2015-06-30,18.06,$-115.48,0.0
2015-03-31,14.7,$-125.98,0.0
2014-12-31,15.3,$-153.28,0.0
2014-09-30,42.84,$-176.37,0.0
2014-06-30,39.12,$-157.48,0.0
2014-03-31,39.66,$-153.28,0.0
2013-12-31,28.44,$-146.98,0.0
2013-09-30,29.76,$-161.68,0.0
2013-06-30,31.11,$-205.77,0.0
2013-03-31,32.82,$-209.97,0.0
2012-12-31,25.2,$-224.67,0.0
2012-09-30,33.78,$-222.57,0.0
2012-06-30,17.22,$-167.98,0.0
2012-03-31,17.22,$-163.78,0.0
2011-12-31,7.02,$-92.39,0.0
2011-09-30,7.38,$-100.79,0.0
2011-06-30,12.54,$-102.88,0.0
2011-03-31,11.64,$-153.25,0.0
2010-12-31,18.72,$-300.20,0.0
2010-09-30,15.08,$-440.85,0.0
2010-06-30,16.92,$-591.99,0.0
2010-03-31,31.5,"$-2,304.99",0.0
2009-12-31,38.52,"$-2,468.74",0.0
