Beauty Health PE Ratio Historical Data,Beauty Health PE Ratio Historical Data,Beauty Health PE Ratio Historical Data,Beauty Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.31,,0.0
2024-12-31,1.59,$-0.43,0.0
2024-09-30,1.44,$-0.42,0.0
2024-06-30,1.92,$-0.83,0.0
2024-03-31,4.44,$-0.70,0.0
2023-12-31,3.11,$-0.77,0.0
2023-09-30,6.02,$-0.67,0.0
2023-06-30,8.37,$-0.14,0.0
2023-03-31,12.63,$-0.22,0.0
2022-12-31,9.1,$-0.18,0.0
2022-09-30,11.79,$-0.33,0.0
2022-06-30,12.86,$-1.93,0.0
2022-03-31,16.88,$-3.40,0.0
2021-12-31,24.16,$-3.27,0.0
2021-09-30,25.97,$-3.15,0.0
