Broadway Financial PE Ratio Historical Data,Broadway Financial PE Ratio Historical Data,Broadway Financial PE Ratio Historical Data,Broadway Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.63,,26.31
2024-09-30,6.44,$0.29,22.21
2024-06-30,5.14,$0.33,15.58
2024-03-31,5.51,$0.30,18.37
2023-12-31,6.79,$0.48,14.14
2023-09-30,7.84,$0.33,23.76
2023-06-30,7.76,$0.48,16.17
2023-03-31,8.4,$0.72,11.67
2022-12-31,8.08,$0.64,12.63
2022-09-30,9.04,$0.32,28.25
2022-06-30,8.48,$0.16,53.0
2022-03-31,12.72,0,0.0
2021-12-31,18.48,$-1.12,0.0
2021-09-30,26.56,$-1.12,0.0
2021-06-30,21.52,$-1.20,0.0
2021-03-31,19.92,$-1.20,0.0
2020-12-31,14.8,$-0.16,0.0
2020-09-30,13.44,0,0.0
2020-06-30,16.88,0,0.0
2020-03-31,10.48,$-0.16,0.0
2019-12-31,12.32,$-0.08,0.0
2019-09-30,12.32,0,0.0
2019-06-30,11.36,$0.32,35.5
2019-03-31,11.2,$0.40,28.0
2018-12-31,8.4,$0.32,26.25
2018-09-30,11.28,$0.16,70.5
2018-06-30,17.6,$0.08,220.0
2018-03-31,16.88,$0.24,70.33
2017-12-31,18.88,$0.64,29.5
2017-09-30,18.56,$1.36,13.65
2017-06-30,16.9,$1.28,13.2
2017-03-31,14.48,$1.20,12.07
2016-12-31,13.08,$0.96,13.63
2016-09-30,14.08,$1.84,7.65
2016-06-30,14.48,$2.00,7.24
2016-03-31,15.44,$2.24,6.89
2015-12-31,12.08,$2.40,5.03
2015-09-30,9.68,$1.12,8.64
2015-06-30,11.2,$1.20,9.33
2015-03-31,10.0,$0.88,11.36
2014-12-31,10.48,$0.96,10.92
2014-09-30,12.8,$0.72,17.78
2014-06-30,11.2,$0.80,14.0
2014-03-31,8.96,$-1.52,0.0
2013-12-31,7.44,$-5.84,0.0
2013-09-30,9.68,$-10.56,0.0
2013-06-30,5.68,$-14.80,0.0
2013-03-31,6.64,$-6.00,0.0
2012-12-31,5.28,$-2.72,0.0
2012-09-30,18.8,$0.08,235.0
2012-06-30,10.4,$-31.84,0.0
2012-03-31,10.96,$-47.52,0.0
2011-12-31,12.48,$-48.80,0.0
2011-09-30,12.0,$-47.12,0.0
2011-06-30,17.84,$-13.36,0.0
2011-03-31,18.8,$-1.60,0.0
2010-12-31,19.44,$3.44,5.65
2010-09-30,19.28,$-31.76,0.0
2010-06-30,16.0,$-28.96,0.0
2010-03-31,48.62,$-32.24,0.0
2009-12-31,47.35,$-33.04,0.0
