Aemetis PE Ratio Historical Data,Aemetis PE Ratio Historical Data,Aemetis PE Ratio Historical Data,Aemetis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.99,,0.0
2024-12-31,2.69,$-1.62,0.0
2024-09-30,2.3,$-2.26,0.0
2024-06-30,3.01,$-1.15,0.0
2024-03-31,5.99,$-1.17,0.0
2023-12-31,5.24,$-1.32,0.0
2023-09-30,4.15,$-1.31,0.0
2023-06-30,7.33,$-4.05,0.0
2023-03-31,2.32,$-3.38,0.0
2022-12-31,3.96,$-3.19,0.0
2022-09-30,6.12,$-2.59,0.0
2022-06-30,4.91,$-1.13,0.0
2022-03-31,12.67,$-1.46,0.0
2021-12-31,12.3,$-1.61,0.0
2021-09-30,18.28,$-2.26,0.0
2021-06-30,11.17,$-2.30,0.0
2021-03-31,24.52,$-1.86,0.0
2020-12-31,2.49,$-1.75,0.0
2020-09-30,3.2,$-1.40,0.0
2020-06-30,0.81,$-1.12,0.0
2020-03-31,0.52,$-1.85,0.0
2019-12-31,0.83,$-1.75,0.0
2019-09-30,1.09,$-1.98,0.0
2019-06-30,0.85,$-1.96,0.0
2019-03-31,0.83,$-1.60,0.0
2018-12-31,0.61,$-1.63,0.0
2018-09-30,1.02,$-1.07,0.0
2018-06-30,1.51,$-0.78,0.0
2018-03-31,1.7,$-0.81,0.0
2017-12-31,0.55,$-0.73,0.0
2017-09-30,0.87,$-0.80,0.0
2017-06-30,1.33,$-1.01,0.0
2017-03-31,1.29,$-0.96,0.0
2016-12-31,1.39,$-0.79,0.0
2016-09-30,1.08,$-1.05,0.0
2016-06-30,2.28,$-1.13,0.0
2016-03-31,2.04,$-1.20,0.0
2015-12-31,2.9,$-1.36,0.0
2015-09-30,2.75,$-1.21,0.0
2015-06-30,3.6,$-0.90,0.0
2015-03-31,4.22,$-0.45,0.0
