NewJersey Resources PE Ratio Historical Data,NewJersey Resources PE Ratio Historical Data,NewJersey Resources PE Ratio Historical Data,NewJersey Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.18,,14.81
2024-12-31,46.65,$3.32,14.05
2024-09-30,46.76,$2.92,16.01
2024-06-30,41.94,$2.39,17.55
2024-03-31,41.7,$2.53,16.48
2023-12-31,42.9,$2.44,17.58
2023-09-30,38.73,$2.72,14.24
2023-06-30,44.55,$2.90,15.36
2023-03-31,49.81,$3.02,16.49
2022-12-31,46.11,$2.89,15.95
2022-09-30,35.68,$2.86,12.48
2022-06-30,40.69,$2.29,17.77
2022-03-31,41.55,$0.99,41.97
2021-12-31,36.89,$1.54,23.96
2021-09-30,30.99,$1.22,25.4
2021-06-30,34.87,$1.68,20.75
2021-03-31,34.86,$2.56,13.62
2020-12-31,30.84,$1.93,15.98
2020-09-30,23.22,$2.06,11.27
2020-06-30,27.72,$1.81,15.32
2020-03-31,28.56,$2.00,14.28
2019-12-31,37.04,$1.90,19.49
2019-09-30,37.32,$1.90,19.64
2019-06-30,40.79,$1.52,26.84
2019-03-31,40.57,$1.45,27.98
2018-12-31,36.99,$2.22,16.66
2018-09-30,37.13,$2.67,13.91
2018-06-30,35.81,$2.43,14.74
2018-03-31,31.88,$2.81,11.35
2017-12-31,31.74,$2.54,12.5
2017-09-30,33.06,$1.52,21.75
2017-06-30,30.94,$2.23,13.87
2017-03-31,30.68,$1.81,16.95
2016-12-31,27.32,$1.33,20.54
2016-09-30,25.11,$1.49,16.85
2016-06-30,29.24,$1.25,23.39
2016-03-31,27.45,$1.36,20.19
2015-12-31,24.67,$1.23,20.06
2015-09-30,22.29,$2.11,10.56
2015-06-30,20.27,$1.77,11.45
2015-03-31,22.67,$1.69,13.41
2014-12-31,22.16,$3.02,7.35
2014-09-30,18.15,$1.67,10.9
2014-06-30,20.36,$1.72,11.87
2014-03-31,17.6,$2.24,7.88
2013-12-31,16.2,$0.74,21.89
2013-09-30,15.29,$1.37,11.16
2013-06-30,14.14,$1.51,9.4
2013-03-31,15.14,$1.03,14.69
2012-12-31,13.25,$1.15,11.57
2012-09-30,15.14,$1.12,13.58
2012-06-30,14.2,$1.13,12.57
2012-03-31,14.39,$1.50,9.59
2011-12-31,15.75,$1.62,9.75
2011-09-30,13.52,$1.22,11.08
2011-06-30,14.05,$1.33,10.56
2011-03-31,13.42,$0.96,13.98
2010-12-31,13.35,$1.08,12.36
2010-09-30,12.05,$1.41,8.57
2010-06-30,10.72,$1.16,9.24
2010-03-31,11.32,$1.12,10.16
2009-12-31,11.17,$0.64,17.46
