Design Therapeutics PE Ratio Historical Data,Design Therapeutics PE Ratio Historical Data,Design Therapeutics PE Ratio Historical Data,Design Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.64,,0.0
2024-12-31,6.17,$-0.64,0.0
2024-09-30,5.38,$-0.85,0.0
2024-06-30,3.35,$-0.90,0.0
2024-03-31,4.03,$-1.05,0.0
2023-12-31,2.65,$-1.20,0.0
2023-09-30,2.36,$-1.30,0.0
2023-06-30,6.3,$-1.34,0.0
2023-03-31,5.77,$-1.25,0.0
2022-12-31,10.26,$-1.14,0.0
2022-09-30,16.72,$-1.03,0.0
2022-06-30,14.0,$-0.92,0.0
2022-03-31,16.15,$-0.79,0.0
2021-12-31,21.41,$-0.86,0.0
