WD-40 PE Ratio Historical Data,WD-40 PE Ratio Historical Data,WD-40 PE Ratio Historical Data,WD-40 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,235.94,,45.2
2024-11-30,277.09,$5.22,53.08
2024-08-31,261.92,$5.11,51.26
2024-05-31,223.12,$5.09,43.84
2024-02-29,265.5,$5.01,52.99
2023-11-30,238.49,$5.08,46.95
2023-08-31,211.0,$4.82,43.78
2023-05-31,185.55,$4.69,39.56
2023-02-28,168.9,$4.38,38.56
2022-11-30,162.34,$4.58,35.44
2022-08-31,182.39,$4.90,37.22
2022-05-31,181.17,$4.43,40.9
2022-02-28,202.49,$4.88,41.49
2021-11-30,213.71,$4.71,45.37
2021-08-31,227.57,$5.09,44.71
2021-05-31,231.82,$5.90,39.29
2021-02-28,294.4,$5.44,54.12
2020-11-30,239.58,$5.24,45.72
2020-08-31,191.89,$4.40,43.61
2020-05-31,179.51,$3.61,49.73
2020-02-29,160.76,$3.85,41.76
2019-11-30,179.35,$3.95,45.4
2019-08-31,168.74,$4.02,41.98
2019-05-31,144.21,$4.93,29.25
2019-02-28,164.49,$4.78,34.41
2018-11-30,159.99,$4.69,34.11
2018-08-31,161.97,$4.64,34.91
2018-05-31,125.13,$4.11,30.45
2018-02-28,112.98,$3.98,28.39
2017-11-30,107.72,$3.80,28.35
2017-08-31,97.87,$3.72,26.31
2017-05-31,94.52,$3.70,25.54
2017-02-28,97.81,$3.56,27.47
2016-11-30,95.57,$3.63,26.33
2016-08-31,104.42,$3.64,28.69
2016-05-31,97.92,$3.45,28.38
2016-02-29,94.56,$3.32,28.48
2015-11-30,86.11,$3.14,27.42
2015-08-31,72.71,$3.04,23.92
2015-05-31,72.94,$3.01,24.23
2015-02-28,69.89,$2.95,23.69
2014-11-30,65.21,$2.86,22.8
2014-08-31,58.57,$2.87,20.41
2014-05-31,61.25,$2.63,23.29
2014-02-28,61.59,$2.60,23.69
2013-11-30,63.29,$2.59,24.43
2013-08-31,48.7,$2.54,19.17
2013-05-31,45.16,$2.57,17.57
2013-02-28,44.88,$2.48,18.1
2012-11-30,38.86,$2.47,15.73
2012-08-31,39.91,$2.20,18.14
2012-05-31,38.02,$2.25,16.9
2012-02-29,34.79,$2.15,16.18
2011-11-30,33.2,$2.03,16.35
2011-08-31,32.79,$2.14,15.32
2011-05-31,33.57,$1.94,17.31
2011-02-28,32.0,$2.01,15.92
2010-11-30,30.56,$2.12,14.41
2010-08-31,27.3,$2.15,12.7
2010-05-31,25.16,$2.20,11.44
2010-02-28,23.98,$2.07,11.58
2009-11-30,24.42,$1.68,14.54
