Intrepid Potash PE Ratio Historical Data,Intrepid Potash PE Ratio Historical Data,Intrepid Potash PE Ratio Historical Data,Intrepid Potash PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.0,,0.0
2024-12-31,21.92,$-16.48,0.0
2024-09-30,24.0,$-3.35,0.0
2024-06-30,23.43,$-3.77,0.0
2024-03-31,20.86,$-3.38,0.0
2023-12-31,23.89,$-2.79,0.0
2023-09-30,25.16,$0.42,59.9
2023-06-30,22.69,$1.95,11.64
2023-03-31,27.6,$3.36,8.21
2022-12-31,28.87,$5.32,5.43
2022-09-30,39.57,$21.68,1.83
2022-06-30,45.29,$21.01,2.16
2022-03-31,82.14,$20.73,3.96
2021-12-31,42.73,$18.60,2.3
2021-09-30,30.9,$1.89,16.35
2021-06-30,31.86,$0.81,39.33
2021-03-31,32.56,$-1.35,0.0
2020-12-31,24.15,$-2.13,0.0
2020-09-30,8.44,$-1.88,0.0
2020-06-30,9.9,$-1.10,0.0
2020-03-31,8.0,$0.00,0.0
2019-12-31,27.1,$1.10,24.64
2019-09-30,32.7,$1.50,21.8
2019-06-30,33.6,$1.80,18.67
2019-03-31,37.9,$1.30,29.15
2018-12-31,26.0,$0.90,28.89
2018-09-30,35.9,$0.20,179.5
2018-06-30,41.0,$-0.30,0.0
2018-03-31,36.4,$-0.70,0.0
2017-12-31,47.6,$-2.50,0.0
2017-09-30,43.6,$-4.60,0.0
2017-06-30,22.6,$-6.80,0.0
2017-03-31,17.2,$-8.10,0.0
2016-12-31,20.8,$-8.80,0.0
2016-09-30,11.3,$-75.10,0.0
2016-06-30,14.4,$-73.80,0.0
2016-03-31,11.1,$-72.70,0.0
2015-12-31,29.5,$-69.40,0.0
2015-09-30,55.4,$-0.10,0.0
2015-06-30,119.4,$0.80,149.25
2015-03-31,115.5,$2.20,52.5
2014-12-31,138.8,$1.30,106.77
2014-09-30,154.5,$-0.30,0.0
2014-06-30,167.6,$0.20,838.0
2014-03-31,154.6,$1.00,154.6
2013-12-31,158.4,$3.00,52.8
2013-09-30,156.8,$5.70,27.51
2013-06-30,190.5,$9.80,19.44
2013-03-31,187.6,$10.80,17.37
2012-12-31,212.9,$11.50,18.51
2012-09-30,207.58,$12.90,16.09
2012-06-30,219.95,$11.90,18.48
2012-03-31,235.12,$13.50,17.42
2011-12-31,218.69,$14.60,14.98
2011-09-30,240.34,$13.70,17.54
2011-06-30,314.07,$11.90,26.39
2011-03-31,336.49,$8.30,40.54
2010-12-31,360.36,$6.10,59.08
2010-09-30,251.93,$4.60,54.77
2010-06-30,189.12,$4.30,43.98
2010-03-31,293.1,$5.70,51.42
2009-12-31,281.89,$7.40,38.09
