Magnachip Semiconductor PE Ratio Historical Data,Magnachip Semiconductor PE Ratio Historical Data,Magnachip Semiconductor PE Ratio Historical Data,Magnachip Semiconductor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.93,,0.0
2024-12-31,4.02,$-1.44,0.0
2024-09-30,4.67,$-1.16,0.0
2024-06-30,4.87,$-1.03,0.0
2024-03-31,5.58,$-0.78,0.0
2023-12-31,7.5,$-0.87,0.0
2023-09-30,8.31,$-0.64,0.0
2023-06-30,11.18,$-0.89,0.0
2023-03-31,9.28,$-0.87,0.0
2022-12-31,9.39,$-0.18,0.0
2022-09-30,10.24,$0.87,11.77
2022-06-30,14.53,$1.48,9.82
2022-03-31,16.91,$1.55,10.91
2021-12-31,20.97,$1.16,18.08
2021-09-30,17.76,$1.49,11.92
2021-06-30,23.86,$7.15,3.34
2021-03-31,24.9,$7.80,3.19
2020-12-31,13.52,$7.31,1.85
2020-09-30,13.7,$6.40,2.14
2020-06-30,10.3,$0.46,22.39
2020-03-31,11.05,$-0.47,0.0
2019-12-31,11.61,$-0.79,0.0
2019-09-30,10.14,$-1.40,0.0
2019-06-30,10.35,$-0.94,0.0
2019-03-31,7.4,$-1.28,0.0
2018-12-31,6.21,$-0.20,0.0
2018-09-30,9.9,$0.86,11.51
2018-06-30,10.25,$0.60,17.08
2018-03-31,9.6,$0.98,9.8
2017-12-31,9.95,$1.95,5.1
2017-09-30,11.35,$-0.46,0.0
2017-06-30,9.8,$0.24,40.83
2017-03-31,9.55,$-0.03,0.0
2016-12-31,6.2,$-0.85,0.0
2016-09-30,8.34,$1.23,6.78
2016-06-30,5.66,$-1.27,0.0
2016-03-31,5.44,$-1.66,0.0
2015-12-31,5.29,$-2.48,0.0
2015-09-30,6.59,$-5.01,0.0
2015-06-30,7.72,$-4.73,0.0
2015-03-31,5.47,$-3.40,0.0
2014-12-31,12.99,$-3.44,0.0
2014-09-30,11.7,$-2.21,0.0
2014-06-30,14.1,$0.40,35.25
2014-03-31,13.94,$0.09,154.89
2013-12-31,19.5,$0.51,38.24
2013-09-30,21.53,$4.53,4.75
2013-06-30,18.27,$4.59,3.98
2013-03-31,17.31,$4.59,3.77
2012-12-31,15.92,$5.20,3.06
2012-09-30,11.8,$2.43,4.86
2012-06-30,9.53,$-0.30,0.0
2012-03-31,12.0,$0.36,33.33
2011-12-31,7.48,$0.53,14.11
