CXApp PE Ratio Historical Data,CXApp PE Ratio Historical Data,CXApp PE Ratio Historical Data,CXApp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.97,,0.0
2024-09-30,1.68,$-1.00,0.0
2024-06-30,2.02,$-0.55,0.0
2024-03-31,2.45,$-1.26,0.0
2023-12-31,1.29,$-0.92,0.0
2023-09-30,1.81,$-0.92,0.0
2023-06-30,10.92,$-1.05,0.0
2023-03-31,1.81,0,0.0
2022-12-31,10.07,0,0.0
2022-09-30,10.0,0,0.0
2022-06-30,10.0,0,0.0
2022-03-31,10.06,0,0.0
2021-12-31,9.99,0,0.0
