Pentair PE Ratio Historical Data,Pentair PE Ratio Historical Data,Pentair PE Ratio Historical Data,Pentair PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,88.3,,23.61
2024-12-31,100.64,$3.74,26.91
2024-09-30,97.56,$4.00,24.39
2024-06-30,76.27,$3.95,19.31
2024-03-31,84.75,$3.76,22.54
2023-12-31,71.89,$3.75,19.17
2023-09-30,63.79,$3.07,20.78
2023-06-30,63.43,$2.98,21.29
2023-03-31,54.05,$2.98,18.14
2022-12-31,43.79,$2.89,15.15
2022-09-30,39.34,$3.21,12.26
2022-06-30,44.12,$3.37,13.09
2022-03-31,52.05,$3.24,16.07
2021-12-31,69.89,$3.31,21.12
2021-09-30,69.33,$3.03,22.88
2021-06-30,64.23,$2.83,22.7
2021-03-31,59.13,$2.47,23.94
2020-12-31,50.2,$2.13,23.57
2020-09-30,43.12,$2.10,20.53
2020-06-30,35.63,$1.99,17.9
2020-03-31,27.74,$2.23,12.44
2019-12-31,42.58,$2.10,20.28
2019-09-30,34.92,$2.05,17.04
2019-06-30,34.2,$2.13,16.06
2019-03-31,40.73,$1.69,24.1
2018-12-31,34.42,$1.96,17.56
2018-09-30,39.32,$2.47,15.92
2018-06-30,38.01,$2.52,15.09
2018-03-31,41.71,$3.72,11.21
2017-12-31,43.03,$3.63,11.85
2017-09-30,41.21,$3.30,12.49
2017-06-30,40.14,$3.39,11.84
2017-03-31,37.66,$2.74,13.75
2016-12-31,33.45,$2.85,11.74
2016-09-30,38.1,$2.64,14.43
2016-06-30,34.39,$2.50,13.75
2016-03-31,31.82,$2.53,12.58
2015-12-31,28.84,$2.56,11.27
2015-09-30,29.54,$2.75,10.74
2015-06-30,39.59,$1.17,33.83
2015-03-31,36.02,$1.18,30.53
2014-12-31,37.85,$1.15,32.91
2014-09-30,37.14,$1.24,29.95
2014-06-30,40.73,$3.04,13.4
2014-03-31,44.66,$2.97,15.04
2013-12-31,43.58,$2.63,16.57
2013-09-30,36.3,$0.54,67.22
2013-06-30,32.11,$-0.01,0.0
2013-03-31,29.24,$-0.05,0.0
2012-12-31,27.13,$0.31,87.5
2012-09-30,24.29,$0.26,93.43
2012-06-30,20.9,$0.47,44.47
2012-03-31,25.87,$0.43,60.16
2011-12-31,17.98,$0.33,54.49
2011-09-30,17.2,$2.16,7.96
2011-06-30,21.57,$2.20,9.8
2011-03-31,20.09,$2.14,9.39
2010-12-31,19.31,$1.99,9.7
2010-09-30,17.68,$1.82,9.72
2010-06-30,16.84,$1.65,10.2
2010-03-31,18.53,$1.36,13.62
2009-12-31,16.7,$1.18,14.15
