Cadiz PE Ratio Historical Data,Cadiz PE Ratio Historical Data,Cadiz PE Ratio Historical Data,Cadiz PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.48,,0.0
2024-09-30,3.03,$-0.51,0.0
2024-06-30,3.09,$-0.51,0.0
2024-03-31,2.9,$-0.49,0.0
2023-12-31,2.8,$-0.56,0.0
2023-09-30,3.31,$-0.59,0.0
2023-06-30,4.06,$-0.62,0.0
2023-03-31,4.04,$-0.62,0.0
2022-12-31,2.5,$-0.59,0.0
2022-09-30,1.9,$-0.60,0.0
2022-06-30,2.33,$-0.67,0.0
2022-03-31,2.07,$-0.84,0.0
2021-12-31,3.86,$-0.84,0.0
2021-09-30,7.04,$-0.90,0.0
2021-06-30,13.6,$-0.81,0.0
2021-03-31,9.59,$-0.65,0.0
2020-12-31,10.65,$-1.15,0.0
2020-09-30,9.93,$-1.19,0.0
2020-06-30,10.16,$-1.34,0.0
2020-03-31,11.67,$-1.48,0.0
2019-12-31,11.02,$-1.11,0.0
2019-09-30,12.49,$-1.18,0.0
2019-06-30,11.25,$-1.16,0.0
2019-03-31,9.68,$-1.13,0.0
2018-12-31,10.3,$-1.10,0.0
2018-09-30,11.15,$-1.08,0.0
2018-06-30,13.1,$-1.08,0.0
2018-03-31,13.5,$-1.43,0.0
2017-12-31,14.25,$-1.50,0.0
2017-09-30,12.7,$-1.53,0.0
2017-06-30,13.5,$-2.34,0.0
2017-03-31,15.05,$-2.05,0.0
2016-12-31,12.5,$-2.21,0.0
2016-09-30,7.41,$-2.27,0.0
2016-06-30,5.87,$-1.53,0.0
2016-03-31,5.22,$-1.56,0.0
2015-12-31,5.26,$-1.34,0.0
2015-09-30,7.26,$-1.24,0.0
2015-06-30,8.69,$-1.19,0.0
2015-03-31,10.26,$-1.13,0.0
2014-12-31,11.2,$-1.15,0.0
2014-09-30,10.39,$-1.23,0.0
2014-06-30,8.33,$-1.26,0.0
2014-03-31,7.05,$-1.27,0.0
2013-12-31,6.96,$-1.46,0.0
2013-09-30,5.11,$-1.46,0.0
2013-06-30,4.6,$-1.46,0.0
2013-03-31,6.76,$-1.47,0.0
2012-12-31,7.92,$-1.28,0.0
2012-09-30,9.71,$-1.23,0.0
2012-06-30,7.21,$-1.21,0.0
2012-03-31,9.2,$-1.18,0.0
2011-12-31,9.63,$-1.20,0.0
2011-09-30,7.91,$-1.19,0.0
2011-06-30,10.86,$-1.13,0.0
2011-03-31,12.19,$-1.09,0.0
2010-12-31,12.44,$-1.16,0.0
2010-09-30,10.26,$-1.10,0.0
2010-06-30,12.07,$-1.12,0.0
2010-03-31,12.77,$-1.24,0.0
2009-12-31,11.97,$-1.13,0.0
