Flotek Industries PE Ratio Historical Data,Flotek Industries PE Ratio Historical Data,Flotek Industries PE Ratio Historical Data,Flotek Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.1,,47.89
2024-12-31,9.53,$0.19,50.16
2024-09-30,4.98,$0.26,19.15
2024-06-30,4.91,$0.22,22.32
2024-03-31,3.74,$0.04,93.5
2023-12-31,3.92,$-0.13,0.0
2023-09-30,4.43,$-1.70,0.0
2023-06-30,4.4,$-3.24,0.0
2023-03-31,4.14,$-3.42,0.0
2022-12-31,6.72,$-4.20,0.0
2022-09-30,6.0,$-4.02,0.0
2022-06-30,5.95,$-2.46,0.0
2022-03-31,7.56,$-2.70,0.0
2021-12-31,6.78,$-2.52,0.0
2021-09-30,7.56,$-3.00,0.0
2021-06-30,10.38,$-7.02,0.0
2021-03-31,10.08,$-7.32,0.0
2020-12-31,12.66,$-13.02,0.0
2020-09-30,16.26,$-15.30,0.0
2020-06-30,7.2,$-12.48,0.0
2020-03-31,5.34,$-13.14,0.0
2019-12-31,12.0,$-3.30,0.0
2019-09-30,13.2,$1.68,7.86
2019-06-30,19.86,$2.40,8.28
2019-03-31,19.44,$-3.90,0.0
2018-12-31,6.54,$-7.32,0.0
2018-09-30,14.4,$-9.12,0.0
2018-06-30,19.38,$-9.00,0.0
2018-03-31,36.6,$-1.62,0.0
2017-12-31,27.96,$-2.82,0.0
2017-09-30,27.9,$-3.36,0.0
2017-06-30,53.64,$-3.36,0.0
2017-03-31,76.74,$-3.18,0.0
2016-12-31,56.34,$-5.28,0.0
2016-09-30,87.24,$-4.02,0.0
2016-06-30,79.2,$-3.48,0.0
2016-03-31,43.98,$-4.62,0.0
2015-12-31,68.64,$-1.50,0.0
2015-09-30,100.2,$0.42,238.57
2015-06-30,75.18,$1.74,43.21
2015-03-31,88.44,$4.32,20.48
2014-12-31,112.38,$5.82,19.31
2014-09-30,156.42,$5.28,29.63
2014-06-30,192.96,$4.68,41.24
2014-03-31,167.1,$4.44,37.64
2013-12-31,120.42,$4.02,29.96
2013-09-30,138.0,$5.46,25.28
2013-06-30,107.64,$5.64,19.09
2013-03-31,98.1,$6.18,15.88
2012-12-31,73.2,$5.70,12.84
2012-09-30,76.02,$3.18,23.91
2012-06-30,56.04,$4.14,13.54
2012-03-31,72.12,$2.88,25.05
2011-12-31,59.76,$3.24,18.45
2011-09-30,28.02,$-3.12,0.0
2011-06-30,51.12,$-5.76,0.0
2011-03-31,50.46,$-7.68,0.0
2010-12-31,32.7,$-12.06,0.0
2010-09-30,8.28,$-8.28,0.0
2010-06-30,7.26,$-14.82,0.0
2010-03-31,7.62,$-19.20,0.0
2009-12-31,8.04,$-16.20,0.0
