Archrock PE Ratio Historical Data,Archrock PE Ratio Historical Data,Archrock PE Ratio Historical Data,Archrock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.69,,25.66
2024-12-31,24.89,$1.04,23.93
2024-09-30,20.09,$0.91,22.07
2024-06-30,19.89,$0.89,22.35
2024-03-31,19.19,$0.83,23.12
2023-12-31,14.87,$0.67,22.2
2023-09-30,12.03,$0.53,22.7
2023-06-30,9.67,$0.43,22.49
2023-03-31,9.08,$0.38,23.89
2022-12-31,8.22,$0.29,28.33
2022-09-30,5.77,$0.26,22.21
2022-06-30,7.3,$0.22,33.17
2022-03-31,8.0,$0.17,47.08
2021-12-31,6.37,$0.19,33.55
2021-09-30,6.91,$0.18,38.41
2021-06-30,7.34,$0.24,30.57
2021-03-31,7.7,$-0.02,0.0
2020-12-31,6.92,$-0.46,0.0
2020-09-30,4.22,$-0.19,0.0
2020-06-30,4.99,$-0.17,0.0
2020-03-31,2.8,$0.12,23.37
2019-12-31,7.36,$0.68,10.82
2019-09-30,7.2,$0.48,15.0
2019-06-30,7.54,$0.42,17.95
2019-03-31,6.86,$0.35,19.6
2018-12-31,5.18,$0.14,37.0
2018-09-30,8.34,$0.71,11.74
2018-06-30,8.12,$0.48,16.91
2018-03-31,5.85,$0.36,16.26
2017-12-31,6.94,$0.25,27.75
2017-09-30,8.2,$-0.98,0.0
2017-06-30,7.36,$-0.83,0.0
2017-03-31,7.92,$-0.73,0.0
2016-12-31,8.37,$-0.56,0.0
2016-09-30,8.2,$-1.91,0.0
