Wilhelmina PE Ratio Historical Data,Wilhelmina PE Ratio Historical Data,Wilhelmina PE Ratio Historical Data,Wilhelmina PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-01-27,3.56,,29.67
2024-09-30,4.17,$0.12,34.75
2024-06-30,5.43,$0.13,41.77
2024-03-31,4.86,$0.08,60.75
2023-12-31,4.12,$0.09,45.72
2023-09-30,3.85,$0.10,38.49
2023-06-30,3.8,$0.40,9.5
2023-03-31,4.34,$0.58,7.48
2022-12-31,3.54,$0.69,5.13
2022-09-30,4.09,$0.69,5.93
2022-06-30,4.39,$0.54,8.13
2022-03-31,4.65,$0.58,8.02
2021-12-31,5.25,$0.87,6.03
2021-09-30,5.38,$0.95,5.66
2021-06-30,5.0,$0.73,6.85
2021-03-31,5.22,$-0.01,0.0
2020-12-31,4.59,$-0.96,0.0
2020-09-30,3.13,$-2.00,0.0
2020-06-30,4.0,$-2.03,0.0
2020-03-31,3.59,$-1.42,0.0
2019-12-31,4.14,$-0.92,0.0
2019-09-30,5.54,$0.05,110.79
2019-06-30,6.2,$0.12,51.67
2019-03-31,5.89,$0.10,58.9
2018-12-31,5.83,$0.16,36.44
2018-09-30,6.82,$0.18,37.89
2018-06-30,5.99,$0.14,42.75
2018-03-31,7.25,$0.06,120.83
2017-12-31,6.47,$0.02,323.5
2017-09-30,6.4,$-0.12,0.0
2017-06-30,7.3,$-0.08,0.0
2017-03-31,7.21,$0.03,240.33
2016-12-31,8.75,$0.01,0.0
2016-09-30,8.63,$0.14,61.65
2016-06-30,7.11,$0.21,33.86
2016-03-31,6.11,$0.17,35.94
2015-12-31,7.11,$0.25,28.44
2015-09-30,6.0,$0.25,24.0
2015-06-30,5.75,$0.20,28.75
2015-03-31,5.45,$0.21,25.95
2014-12-31,6.0,$0.15,40.0
2014-09-30,6.1,$0.53,11.51
2014-06-30,5.7,$0.47,12.13
2014-03-31,4.8,$0.40,12.01
2013-12-31,6.0,$0.40,15.0
2013-09-30,4.0,0,0.0
2013-06-30,2.8,0,0.0
2013-03-31,3.4,0,0.0
2012-12-31,2.4,0,0.0
2012-09-30,2.2,0,0.0
2012-06-30,2.6,0,0.0
2012-03-31,3.6,$0.20,18.0
2011-12-31,4.0,$0.40,10.0
2011-09-30,4.2,$0.40,10.5
2011-06-30,4.8,$0.40,12.0
2011-03-31,4.0,$0.20,20.0
2010-12-31,3.0,0,0.0
2010-09-30,2.4,$-0.20,0.0
2010-06-30,2.4,$-0.20,0.0
