CPS Technologies PE Ratio Historical Data,CPS Technologies PE Ratio Historical Data,CPS Technologies PE Ratio Historical Data,CPS Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.66,,0.0
2024-09-30,1.42,$-0.14,0.0
2024-06-30,1.7,$-0.06,0.0
2024-03-31,1.85,$0.05,37.0
2023-12-31,2.35,$0.09,26.11
2023-09-30,2.78,$0.10,27.8
2023-06-30,2.8,$0.16,17.5
2023-03-31,2.85,$0.15,19.0
2022-12-31,2.69,$0.15,17.93
2022-09-30,2.81,$0.14,20.07
2022-06-30,3.07,$0.26,11.81
2022-03-31,5.21,$0.25,20.84
2021-12-31,3.79,$0.22,17.23
2021-09-30,4.97,$0.19,26.16
2021-06-30,9.61,$0.02,480.5
2021-03-31,13.09,$0.02,654.5
2020-12-31,2.78,$0.07,39.71
2020-09-30,1.65,$0.12,13.71
2020-06-30,2.42,$0.06,40.33
2020-03-31,1.01,$0.06,16.83
2019-12-31,1.01,$-0.05,0.0
2019-09-30,1.02,$-0.30,0.0
2019-06-30,1.16,$-0.26,0.0
2019-03-31,1.54,$-0.30,0.0
2018-12-31,1.23,$-0.28,0.0
2018-09-30,1.45,$-0.12,0.0
2018-06-30,1.62,$-0.12,0.0
2018-03-31,1.35,$-0.13,0.0
2017-12-31,1.66,$-0.14,0.0
2017-09-30,1.09,$-0.09,0.0
2017-06-30,1.19,$-0.10,0.0
2017-03-31,1.51,$-0.09,0.0
2016-12-31,1.87,$-0.03,0.0
2016-09-30,1.5,$-0.00,0.0
2016-06-30,1.73,$0.01,0.0
2016-03-31,1.72,$0.04,43.0
2015-12-31,2.95,$0.04,73.75
2015-09-30,2.29,$0.07,32.71
2015-06-30,2.34,$0.08,29.25
2015-03-31,2.8,$0.07,40.0
2014-12-31,3.25,$0.08,40.63
2014-09-30,3.0,$0.05,60.0
2014-06-30,2.95,$0.07,42.14
2014-03-31,2.75,$0.09,30.56
2013-12-31,2.52,$0.07,36.0
2013-09-30,1.9,$0.04,47.5
2013-06-30,1.6,$-0.03,0.0
2013-03-31,1.2,$-0.08,0.0
2012-12-31,1.25,$-0.12,0.0
2012-09-30,1.35,$-0.12,0.0
2012-06-30,2.05,$-0.08,0.0
2012-03-31,2.3,$-0.05,0.0
2011-12-31,1.85,$-0.01,0.0
2011-09-30,2.18,$-0.03,0.0
2011-06-30,2.2,0,0.0
2011-03-31,2.0,$0.04,50.0
2010-12-31,1.85,$0.05,37.0
2010-09-30,1.85,$0.12,15.42
2010-06-30,1.6,$0.08,20.0
2010-03-31,1.5,$0.05,30.0
2009-12-31,1.15,$0.05,23.0
