QCR Holdings PE Ratio Historical Data,QCR Holdings PE Ratio Historical Data,QCR Holdings PE Ratio Historical Data,QCR Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,72.68,,10.83
2024-12-31,80.64,$6.71,12.02
2024-09-30,73.98,$6.89,10.74
2024-06-30,59.91,$6.74,8.89
2024-03-31,60.58,$6.71,9.03
2023-12-31,58.18,$6.73,8.64
2023-09-30,48.29,$6.59,7.33
2023-06-30,40.79,$6.81,5.99
2023-03-31,43.59,$5.99,7.28
2022-12-31,49.22,$5.88,8.37
2022-09-30,50.45,$5.78,8.73
2022-06-30,53.41,$6.06,8.81
2022-03-31,55.91,$6.58,8.5
2021-12-31,55.27,$6.21,8.9
2021-09-30,50.72,$5.64,8.99
2021-06-30,47.36,$4.74,9.99
2021-03-31,46.44,$4.21,11.03
2020-12-31,38.89,$3.79,10.26
2020-09-30,26.89,$3.64,7.39
2020-06-30,30.52,$3.49,8.75
2020-03-31,26.45,$3.48,7.6
2019-12-31,42.76,$3.59,11.91
2019-09-30,36.97,$3.44,10.75
2019-06-30,33.89,$3.05,11.11
2019-03-31,32.91,$2.93,11.23
2018-12-31,31.08,$2.86,10.87
2018-09-30,39.49,$2.72,14.52
2018-06-30,45.81,$2.75,16.66
2018-03-31,43.24,$2.67,16.2
2017-12-31,41.26,$2.61,15.81
2017-09-30,43.76,$2.55,17.16
2017-06-30,45.54,$2.43,18.74
2017-03-31,40.64,$2.31,17.59
2016-12-31,41.51,$2.16,19.22
2016-09-30,30.4,$2.09,14.54
2016-06-30,26.01,$2.18,11.93
2016-03-31,22.78,$1.60,14.24
2015-12-31,23.16,$1.59,14.57
2015-09-30,20.82,$1.39,14.98
2015-06-30,20.71,$1.34,15.46
2015-03-31,16.96,$1.84,9.22
2014-12-31,16.97,$1.72,9.87
2014-09-30,16.74,$1.85,9.05
2014-06-30,16.35,$1.86,8.79
2014-03-31,16.23,$2.00,8.12
2013-12-31,16.11,$2.09,7.71
2013-09-30,14.99,$2.08,7.21
2013-06-30,14.58,$2.01,7.25
2013-03-31,15.53,$1.86,8.35
2012-12-31,12.45,$1.85,6.73
2012-09-30,14.06,$1.71,8.22
2012-06-30,12.29,$1.26,9.76
2012-03-31,11.41,$1.16,9.84
2011-12-31,8.51,$0.92,9.25
2011-09-30,8.17,$0.68,12.01
2011-06-30,8.31,$0.90,9.23
2011-03-31,7.79,$0.71,10.97
2010-12-31,6.62,$0.53,12.48
2010-09-30,8.33,$0.40,20.83
2010-06-30,9.11,$0.31,29.37
2010-03-31,8.18,$-0.26,0.0
2009-12-31,7.67,$-0.45,0.0
