X Financial PE Ratio Historical Data,X Financial PE Ratio Historical Data,X Financial PE Ratio Historical Data,X Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.61,,3.33
2024-09-30,6.6,$3.79,1.74
2024-06-30,4.16,$3.65,1.14
2024-03-31,3.57,$3.54,1.01
2023-12-31,3.38,$3.38,1.0
2023-09-30,3.78,$3.59,1.05
2023-06-30,3.9,$3.17,1.23
2023-03-31,2.77,$2.63,1.05
2022-12-31,2.68,$2.17,1.24
2022-09-30,1.98,$1.82,1.09
2022-06-30,2.38,$2.04,1.17
2022-03-31,2.45,$2.16,1.13
2021-12-31,2.67,$2.30,1.16
2021-09-30,3.69,$0.02,184.27
2021-06-30,12.09,$-1.05,0.0
2021-03-31,3.3,$-2.56,0.0
2020-12-31,1.78,$-3.60,0.0
2020-09-30,1.37,$-1.51,0.0
2020-06-30,2.4,$-0.87,0.0
2020-03-31,2.8,$0.84,3.33
2019-12-31,4.5,$1.95,2.31
2019-09-30,6.05,$2.28,2.65
