Olo PE Ratio Historical Data,Olo PE Ratio Historical Data,Olo PE Ratio Historical Data,Olo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.35,,0.0
2024-12-31,7.68,$-0.00,0.0
2024-09-30,4.96,$-0.10,0.0
2024-06-30,4.42,$-0.15,0.0
2024-03-31,5.49,$-0.29,0.0
2023-12-31,5.72,$-0.36,0.0
2023-09-30,6.06,$-0.31,0.0
2023-06-30,6.46,$-0.33,0.0
2023-03-31,8.16,$-0.29,0.0
2022-12-31,6.25,$-0.28,0.0
2022-09-30,7.9,$-0.24,0.0
2022-06-30,9.87,$-0.23,0.0
2022-03-31,13.25,$-0.18,0.0
2021-12-31,20.81,$-0.74,0.0
