Ambac Financial PE Ratio Historical Data,Ambac Financial PE Ratio Historical Data,Ambac Financial PE Ratio Historical Data,Ambac Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.6,,0.0
2024-12-31,12.65,$-10.45,0.0
2024-09-30,11.21,$-0.46,0.0
2024-06-30,12.82,$1.58,8.11
2024-03-31,15.63,$1.31,11.93
2023-12-31,16.48,$0.15,109.87
2023-09-30,12.06,$4.25,2.84
2023-06-30,14.24,$10.25,1.39
2023-03-31,15.48,$10.65,1.45
2022-12-31,17.44,$11.42,1.53
2022-09-30,12.75,$7.14,1.79
2022-06-30,11.35,$0.08,141.88
2022-03-31,10.4,$-0.66,0.0
2021-12-31,16.05,$-0.62,0.0
2021-09-30,14.32,$-0.51,0.0
2021-06-30,15.66,$-3.19,0.0
2021-03-31,16.74,$-3.33,0.0
2020-12-31,15.38,$-9.48,0.0
2020-09-30,12.77,$-11.57,0.0
2020-06-30,14.32,$-7.83,0.0
2020-03-31,12.34,$-9.85,0.0
2019-12-31,21.57,$-4.72,0.0
2019-09-30,19.55,$-2.77,0.0
2019-06-30,16.85,$-6.45,0.0
2019-03-31,18.12,$-3.57,0.0
2018-12-31,17.24,$4.07,4.24
2018-09-30,20.42,$4.09,4.99
2018-06-30,19.85,$2.16,9.19
2018-03-31,15.68,$2.23,7.03
2017-12-31,15.98,$-7.24,0.0
2017-09-30,17.26,$-8.90,0.0
2017-06-30,17.35,$-2.48,0.0
2017-03-31,18.86,$-1.35,0.0
2016-12-31,22.5,$1.63,13.8
2016-09-30,18.39,$12.28,1.5
2016-06-30,16.46,$1.40,11.76
2016-03-31,15.8,$6.16,2.56
2015-12-31,14.09,$10.52,1.34
2015-09-30,14.47,$11.69,1.24
2015-06-30,16.64,$22.12,0.75
2015-03-31,24.2,$11.46,2.11
2014-12-31,24.5,$10.20,2.4
2014-09-30,22.1,$1.96,11.28
2014-06-30,27.31,$5.17,5.28
2014-03-31,31.03,$24.34,1.27
