Webster Financial PE Ratio Historical Data,Webster Financial PE Ratio Historical Data,Webster Financial PE Ratio Historical Data,Webster Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.52,,11.79
2024-12-31,55.22,$4.37,12.64
2024-09-30,46.25,$4.41,10.49
2024-06-30,42.89,$4.59,9.35
2024-03-31,49.52,$4.88,10.15
2023-12-31,49.1,$4.89,10.04
2023-09-30,38.6,$5.22,7.39
2023-06-30,35.84,$5.25,6.83
2023-03-31,36.98,$4.93,7.5
2022-12-31,44.1,$3.55,12.42
2022-09-30,41.78,$3.37,12.4
2022-06-30,38.63,$3.09,12.5
2022-03-31,50.98,$3.10,16.45
2021-12-31,50.39,$4.41,11.43
2021-09-30,48.81,$3.85,12.68
2021-06-30,47.4,$3.57,13.28
2021-03-31,48.62,$3.13,15.53
2020-12-31,36.89,$2.35,15.7
2020-09-30,22.88,$2.67,8.57
2020-06-30,24.42,$2.92,8.36
2020-03-31,19.24,$3.40,5.66
2019-12-31,44.45,$4.07,10.92
2019-09-30,38.72,$4.16,9.31
2019-06-30,39.14,$4.22,9.28
2019-03-31,41.52,$4.03,10.3
2018-12-31,40.14,$3.82,10.51
2018-09-30,47.75,$3.50,13.64
2018-06-30,51.33,$3.11,16.51
2018-03-31,44.41,$2.89,15.37
2017-12-31,44.8,$2.66,16.84
2017-09-30,41.72,$2.53,16.49
2017-06-30,41.25,$2.40,17.19
2017-03-31,39.33,$2.29,17.17
2016-12-31,42.46,$2.18,19.48
2016-09-30,29.55,$2.13,13.87
2016-06-30,26.21,$2.13,12.3
2016-03-31,27.52,$2.15,12.8
2015-12-31,28.31,$2.16,13.11
2015-09-30,26.96,$2.14,12.6
2015-06-30,29.75,$2.13,13.97
2015-03-31,27.69,$2.08,13.31
2014-12-31,24.17,$2.09,11.56
2014-09-30,21.51,$2.01,10.7
2014-06-30,23.12,$1.97,11.74
2014-03-31,22.62,$1.95,11.6
2013-12-31,22.59,$1.86,12.15
2013-09-30,18.4,$1.93,9.53
2013-06-30,18.4,$1.92,9.59
2013-03-31,17.27,$1.88,9.19
2012-12-31,14.57,$1.86,7.83
2012-09-30,16.72,$1.77,9.45
2012-06-30,15.21,$1.74,8.74
2012-03-31,15.84,$1.66,9.54
2011-12-31,14.22,$1.60,8.89
2011-09-30,10.64,$1.47,7.24
2011-06-30,14.58,$1.24,11.76
2011-03-31,14.83,$1.03,14.4
2010-12-31,13.63,$0.59,23.1
2010-09-30,12.14,$-0.55,0.0
2010-06-30,12.4,$-1.16,0.0
2010-03-31,12.08,$-1.00,0.0
2009-12-31,8.19,$-1.33,0.0
