LeddarTech Holdings PE Ratio Historical Data,LeddarTech Holdings PE Ratio Historical Data,LeddarTech Holdings PE Ratio Historical Data,LeddarTech Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.61,,0.0
2024-12-31,1.5,$-3.23,0.0
2024-09-30,0.3,$-14.93,0.0
2024-06-30,0.8,$-12.94,0.0
2024-03-31,2.8,$-12.76,0.0
2023-12-31,2.57,$-12.31,0.0
2023-09-30,10.75,0,0.0
2023-06-30,10.45,0,0.0
2023-03-31,9.92,0,0.0
2022-12-31,9.95,0,0.0
2022-09-30,9.96,0,0.0
2022-06-30,9.86,0,0.0
2022-03-31,9.81,0,0.0
2021-12-31,9.74,0,0.0
