Ovid Therapeutics PE Ratio Historical Data,Ovid Therapeutics PE Ratio Historical Data,Ovid Therapeutics PE Ratio Historical Data,Ovid Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.93,$-0.25,0.0
2024-09-30,1.18,$-0.47,0.0
2024-06-30,0.77,$-0.43,0.0
2024-03-31,3.05,$-0.73,0.0
2023-12-31,3.22,$-0.75,0.0
2023-09-30,3.84,$-0.69,0.0
2023-06-30,3.28,$-0.70,0.0
2023-03-31,2.58,$-0.73,0.0
2022-12-31,1.86,$-0.77,0.0
2022-09-30,1.84,$-0.99,0.0
2022-06-30,2.15,$-0.99,0.0
2022-03-31,3.14,$-1.01,0.0
2021-12-31,3.21,$1.75,1.83
2021-09-30,3.36,$1.79,1.88
2021-06-30,3.91,$1.68,2.33
2021-03-31,4.02,$1.50,2.68
2020-12-31,2.31,$-1.40,0.0
2020-09-30,5.74,$-1.41,0.0
2020-06-30,7.37,$-1.56,0.0
2020-03-31,2.98,$-1.49,0.0
2019-12-31,4.15,$-1.58,0.0
2019-09-30,3.24,$-1.75,0.0
2019-06-30,1.85,$-1.85,0.0
2019-03-31,1.77,$-2.04,0.0
2018-12-31,2.42,$-2.12,0.0
2018-09-30,5.67,$-2.05,0.0
2018-06-30,7.8,$-1.90,0.0
2018-03-31,7.07,$-1.94,0.0
