ICL Group PE Ratio Historical Data,ICL Group PE Ratio Historical Data,ICL Group PE Ratio Historical Data,ICL Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.97,,18.66
2024-12-31,4.94,$0.32,15.44
2024-09-30,4.21,$0.31,13.57
2024-06-30,4.06,$0.33,12.32
2024-03-31,5.11,$0.37,13.81
2023-12-31,4.71,$0.51,9.24
2023-09-30,5.03,$0.71,7.08
2023-06-30,4.77,$1.09,4.38
2023-03-31,5.51,$1.40,3.94
2022-12-31,5.53,$1.67,3.31
2022-09-30,5.61,$1.63,3.44
2022-06-30,5.67,$1.31,4.33
2022-03-31,7.03,$0.98,7.17
2021-12-31,5.42,$0.60,9.03
2021-09-30,3.95,$0.44,8.98
2021-06-30,3.64,$0.31,11.74
2021-03-31,3.06,$0.07,43.73
2020-12-31,2.65,$0.01,264.88
2020-09-30,1.8,$-0.00,0.0
2020-06-30,1.54,$0.06,25.6
2020-03-31,1.51,$0.31,4.87
2019-12-31,2.32,$0.37,6.27
2019-09-30,2.34,$0.39,5.99
2019-06-30,2.32,$0.39,5.96
2019-03-31,2.32,$0.35,6.62
2018-12-31,2.43,$0.97,2.5
2018-09-30,2.51,$1.03,2.43
2018-06-30,1.86,$1.00,1.86
2018-03-31,1.66,$0.96,1.73
2017-12-31,1.56,$0.28,5.58
2017-09-30,1.7,$0.19,8.94
2017-06-30,1.81,$-0.15,0.0
2017-03-31,1.54,$-0.10,0.0
2016-12-31,1.47,$-0.10,0.0
2016-09-30,1.38,$-0.05,0.0
2016-06-30,1.36,$0.32,4.25
2016-03-31,1.42,$0.29,4.9
2015-12-31,1.34,$0.41,3.27
2015-09-30,1.7,$0.33,5.14
2015-06-30,2.3,$0.37,6.21
