Abbott Laboratories PE Ratio Historical Data,Abbott Laboratories PE Ratio Historical Data,Abbott Laboratories PE Ratio Historical Data,Abbott Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,126.78,,16.57
2024-12-31,113.11,$7.65,14.79
2024-09-30,113.47,$3.29,34.49
2024-06-30,102.87,$3.17,32.45
2024-03-31,111.96,$3.21,34.88
2023-12-31,107.9,$3.26,33.1
2023-09-30,94.41,$2.94,32.11
2023-06-30,105.77,$2.93,36.1
2023-03-31,97.76,$3.29,29.71
2022-12-31,105.51,$3.91,26.98
2022-09-30,92.56,$4.43,20.89
2022-06-30,103.48,$4.79,21.6
2022-03-31,112.28,$4.31,26.05
2021-12-31,133.03,$3.94,33.76
2021-09-30,111.24,$4.03,27.6
2021-06-30,108.75,$3.55,30.63
2021-03-31,112.0,$3.19,35.11
2020-12-31,101.91,$2.50,40.76
2020-09-30,100.96,$1.89,53.42
2020-06-30,84.5,$1.73,48.84
2020-03-31,72.63,$1.99,36.5
2019-12-31,79.62,$2.06,38.65
2019-09-30,76.38,$1.84,41.51
2019-06-30,76.49,$1.63,46.92
2019-03-31,72.4,$1.48,48.92
2018-12-31,65.21,$1.33,49.03
2018-09-30,65.87,$0.48,137.23
2018-06-30,54.52,$0.50,109.04
2018-03-31,53.31,$0.25,213.23
2017-12-31,50.53,$0.26,194.36
2017-09-30,47.02,$1.27,37.02
2017-06-30,42.6,$0.71,60.0
2017-03-31,38.69,$0.96,40.3
2016-12-31,33.24,$0.93,35.75
2016-09-30,36.37,$0.91,39.97
2016-06-30,33.6,$1.51,22.25
2016-03-31,35.54,$1.62,21.94
2015-12-31,37.91,$2.92,12.98
2015-09-30,33.76,$3.00,11.25
2015-06-30,40.99,$2.98,13.76
2015-03-31,38.5,$2.76,13.95
2014-12-31,37.21,$1.49,24.97
2014-09-30,34.19,$1.27,26.92
2014-06-30,33.45,$1.52,22.01
2014-03-31,31.31,$1.52,20.6
2013-12-31,30.99,$1.62,19.13
2013-09-30,26.72,$1.91,13.99
2013-06-30,27.97,$2.51,11.14
2013-03-31,28.22,$3.29,8.58
2012-12-31,25.04,$3.73,6.71
2012-09-30,26.12,$4.09,6.39
2012-06-30,24.47,$3.07,7.97
2012-03-31,23.17,$3.22,7.19
2011-12-31,21.17,$2.99,7.08
2011-09-30,19.16,$2.89,6.63
2011-06-30,19.63,$3.27,6.0
2011-03-31,18.22,$2.87,6.35
2010-12-31,17.72,$2.96,5.99
2010-09-30,19.24,$3.02,6.37
2010-06-30,17.15,$3.40,5.05
2010-03-31,19.24,$3.40,5.66
2009-12-31,19.65,$3.68,5.34
