Boxlight PE Ratio Historical Data,Boxlight PE Ratio Historical Data,Boxlight PE Ratio Historical Data,Boxlight PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.48,,0.0
2024-09-30,0.53,$-15.75,0.0
2024-06-30,0.61,$-23.55,0.0
2024-03-31,0.65,$-23.25,0.0
2023-12-31,1.07,$-21.05,0.0
2023-09-30,1.91,$-12.90,0.0
2023-06-30,2.22,$-2.20,0.0
2023-03-31,3.06,$-1.60,0.0
2022-12-31,2.49,$-2.80,0.0
2022-09-30,4.96,$-6.00,0.0
2022-06-30,5.44,$-6.80,0.0
2022-03-31,9.6,$-8.40,0.0
2021-12-31,11.04,$-9.20,0.0
2021-09-30,18.0,$-11.60,0.0
2021-06-30,19.28,$-16.00,0.0
2021-03-31,20.24,$-17.60,0.0
2020-12-31,12.24,$-20.40,0.0
2020-09-30,12.88,$-25.20,0.0
2020-06-30,7.36,$-22.40,0.0
2020-03-31,4.56,$-23.60,0.0
2019-12-31,8.88,$-35.60,0.0
2019-09-30,14.72,$-26.40,0.0
2019-06-30,24.56,$-30.00,0.0
2019-03-31,25.6,$-43.60,0.0
2018-12-31,9.6,$-33.20,0.0
2018-09-30,23.36,$-68.80,0.0
