DT Midstream PE Ratio Historical Data,DT Midstream PE Ratio Historical Data,DT Midstream PE Ratio Historical Data,DT Midstream PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,99.25,,27.57
2024-12-31,99.43,$3.60,27.62
2024-09-30,78.66,$4.11,19.14
2024-06-30,71.03,$4.15,17.12
2024-03-31,61.1,$4.10,14.9
2023-12-31,54.8,$3.95,13.87
2023-09-30,52.92,$3.59,14.74
2023-06-30,49.57,$3.81,13.01
2023-03-31,49.37,$3.81,12.96
2022-12-31,55.26,$3.81,14.5
2022-09-30,51.89,$3.82,13.58
2022-06-30,48.47,$3.43,14.13
