Mastech Digital PE Ratio Historical Data,Mastech Digital PE Ratio Historical Data,Mastech Digital PE Ratio Historical Data,Mastech Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.52,,38.96
2024-12-31,14.9,$0.27,55.19
2024-09-30,10.0,$-0.19,0.0
2024-06-30,7.5,$-0.34,0.0
2024-03-31,9.0,$-0.65,0.0
2023-12-31,8.43,$-0.62,0.0
2023-09-30,9.0,$-0.03,0.0
2023-06-30,9.88,$0.16,61.75
2023-03-31,12.33,$0.55,22.41
2022-12-31,11.01,$0.72,15.29
2022-09-30,14.77,$0.91,16.23
2022-06-30,14.86,$0.99,15.01
2022-03-31,18.49,$1.10,16.81
2021-12-31,17.07,$1.01,16.9
2021-09-30,17.01,$0.86,19.78
2021-06-30,14.95,$0.83,18.01
2021-03-31,17.61,$0.77,22.87
2020-12-31,15.9,$0.83,19.16
2020-09-30,18.01,$0.86,20.94
2020-06-30,25.93,$0.78,33.24
2020-03-31,12.84,$1.06,12.11
2019-12-31,11.07,$0.99,11.18
2019-09-30,6.0,$0.87,6.9
2019-06-30,4.75,$0.84,5.65
2019-03-31,6.16,$0.57,10.91
2018-12-31,6.3,$0.60,10.5
2018-09-30,9.57,$0.60,15.95
2018-06-30,8.05,$0.45,18.09
2018-03-31,6.17,$0.27,23.28
2017-12-31,5.03,$0.16,31.44
2017-09-30,6.39,$0.15,42.6
2017-06-30,3.24,$0.27,12.0
2017-03-31,3.68,$0.30,12.25
2016-12-31,3.41,$0.28,12.16
2016-09-30,4.06,$0.36,11.44
2016-06-30,3.33,$0.35,9.5
2016-03-31,3.61,$0.29,12.45
2015-12-31,3.66,$0.31,11.79
2015-09-30,3.78,$0.26,14.8
2015-06-30,4.47,$0.26,17.53
2015-03-31,4.53,$0.31,14.6
2014-12-31,5.31,$0.39,13.62
2014-09-30,5.12,$0.41,12.49
2014-06-30,7.61,$0.48,15.78
2014-03-31,6.94,$0.47,14.64
2013-12-31,7.0,$0.44,15.83
2013-09-30,4.43,$0.42,10.55
2013-06-30,2.99,$0.32,9.33
2013-03-31,3.45,$0.28,12.16
2012-12-31,1.96,$0.26,7.65
2012-09-30,1.15,$0.20,5.86
2012-06-30,1.29,$0.17,7.49
2012-03-31,1.39,$0.16,8.9
2011-12-31,0.83,$0.12,6.9
2011-09-30,0.64,$0.12,5.12
2011-06-30,0.76,$0.10,7.87
2011-03-31,1.03,$0.07,15.19
2010-12-31,0.94,$0.07,13.02
2010-09-30,0.67,$0.06,10.41
2010-06-30,0.68,$0.09,7.41
2010-03-31,0.97,$0.11,8.97
2009-12-31,1.04,$0.16,6.69
