OceanFirst Financial PE Ratio Historical Data,OceanFirst Financial PE Ratio Historical Data,OceanFirst Financial PE Ratio Historical Data,OceanFirst Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.17,,10.41
2024-12-31,18.1,$1.65,10.97
2024-09-30,18.38,$1.75,10.5
2024-06-30,15.52,$1.66,9.35
2024-03-31,15.82,$1.71,9.25
2023-12-31,16.53,$1.70,9.73
2023-09-30,13.59,$2.13,6.38
2023-06-30,14.51,$2.44,5.95
2023-03-31,16.93,$2.46,6.88
2022-12-31,19.31,$2.42,7.98
2022-09-30,16.79,$1.90,8.84
2022-06-30,17.07,$1.65,10.34
2022-03-31,17.77,$1.67,10.64
2021-12-31,19.48,$1.78,10.95
2021-09-30,18.65,$1.95,9.56
2021-06-30,18.01,$1.46,12.33
2021-03-31,20.53,$1.28,16.04
2020-12-31,15.83,$1.02,15.52
2020-09-30,11.5,$0.95,12.1
2020-06-30,14.65,$1.54,9.51
2020-03-31,13.08,$1.60,8.17
2019-12-31,20.84,$1.75,11.91
2019-09-30,19.12,$1.83,10.45
2019-06-30,19.99,$1.84,10.86
2019-03-31,19.35,$1.79,10.81
2018-12-31,17.98,$1.49,12.07
2018-09-30,21.59,$1.24,17.42
2018-06-30,23.64,$1.13,20.92
2018-03-31,20.99,$1.04,20.19
2017-12-31,20.49,$1.28,16.0
2017-09-30,21.34,$1.20,17.78
2017-06-30,20.93,$1.16,18.04
2017-03-31,21.63,$1.09,19.84
2016-12-31,22.93,$0.98,23.4
2016-09-30,14.6,$1.07,13.65
2016-06-30,13.68,$1.00,13.68
2016-03-31,13.22,$1.15,11.49
2015-12-31,14.87,$1.22,12.19
2015-09-30,12.69,$1.21,10.49
2015-06-30,13.65,$1.24,11.01
2015-03-31,12.54,$1.23,10.2
2014-12-31,12.35,$1.19,10.38
2014-09-30,11.37,$1.00,11.37
2014-06-30,11.75,$0.98,11.99
2014-03-31,12.46,$0.97,12.84
2013-12-31,11.98,$0.95,12.61
2013-09-30,11.75,$1.07,10.98
2013-06-30,10.73,$1.06,10.13
2013-03-31,9.87,$1.07,9.22
2012-12-31,9.33,$1.12,8.33
2012-09-30,9.87,$1.19,8.29
2012-06-30,9.58,$1.19,8.05
2012-03-31,9.42,$1.17,8.05
2011-12-31,8.57,$1.14,7.52
2011-09-30,7.58,$1.16,6.54
2011-06-30,8.34,$1.17,7.13
2011-03-31,8.91,$1.16,7.68
2010-12-31,8.15,$1.12,7.28
2010-09-30,7.69,$0.92,8.36
2010-06-30,7.49,$0.97,7.73
2010-03-31,6.99,$0.96,7.28
2009-12-31,6.87,$1.02,6.73
