Hudson Global PE Ratio Historical Data,Hudson Global PE Ratio Historical Data,Hudson Global PE Ratio Historical Data,Hudson Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.39,,0.0
2024-12-31,13.05,$-1.38,0.0
2024-09-30,16.02,$-1.15,0.0
2024-06-30,16.61,$-0.70,0.0
2024-03-31,17.65,$-0.37,0.0
2023-12-31,15.49,$0.69,22.45
2023-09-30,18.85,$0.48,39.27
2023-06-30,21.53,$0.61,35.3
2023-03-31,22.27,$1.41,15.79
2022-12-31,22.63,$2.27,9.97
2022-09-30,33.62,$2.92,11.51
2022-06-30,31.4,$3.11,10.1
2022-03-31,40.67,$2.09,19.46
2021-12-31,29.0,$1.05,27.62
2021-09-30,15.92,$0.79,20.15
2021-06-30,17.65,$-0.11,0.0
2021-03-31,16.6,$-0.34,0.0
2020-12-31,10.5,$-0.44,0.0
2020-09-30,9.68,$-0.37,0.0
2020-06-30,8.8,$0.16,55.0
2020-03-31,8.55,$0.14,61.07
2019-12-31,11.95,$-0.29,0.0
2019-09-30,12.24,$-0.97,0.0
2019-06-30,12.45,$-1.39,0.0
2019-03-31,15.2,$-1.50,0.0
2018-12-31,13.5,$2.40,5.63
2018-09-30,15.9,$2.00,7.95
2018-06-30,16.2,$2.00,8.1
2018-03-31,19.4,$2.80,6.93
2017-12-31,22.5,$-0.90,0.0
2017-09-30,14.6,$-0.40,0.0
2017-06-30,13.4,$-0.80,0.0
2017-03-31,12.6,$-2.10,0.0
2016-12-31,13.6,$-2.70,0.0
2016-09-30,15.4,$-3.40,0.0
2016-06-30,19.7,$-3.30,0.0
2016-03-31,23.17,$1.70,13.63
2015-12-31,28.04,$0.60,46.73
2015-09-30,23.91,$2.20,10.87
2015-06-30,21.99,$0.70,31.41
2015-03-31,26.21,$-4.70,0.0
2014-12-31,29.72,$-4.00,0.0
2014-09-30,36.3,$-8.30,0.0
2014-06-30,37.74,$-7.70,0.0
2014-03-31,36.3,$-8.20,0.0
2013-12-31,38.6,$-9.30,0.0
2013-09-30,31.11,$-5.90,0.0
2013-06-30,23.81,$-5.10,0.0
2013-03-31,37.83,$-3.20,0.0
2012-12-31,43.02,$-1.70,0.0
2012-09-30,42.83,$-0.60,0.0
2012-06-30,40.04,$1.20,33.37
2012-03-31,51.66,$2.40,21.52
2011-12-31,45.99,$3.40,13.53
2011-09-30,32.84,$2.80,11.73
2011-06-30,51.37,$1.10,46.7
2011-03-31,62.41,$-0.10,0.0
2010-12-31,55.98,$-1.70,0.0
2010-09-30,33.03,$-6.10,0.0
2010-06-30,42.25,$-8.10,0.0
2010-03-31,42.06,$-15.00,0.0
2009-12-31,45.61,$-15.60,0.0
