PPG Industries PE Ratio Historical Data,PPG Industries PE Ratio Historical Data,PPG Industries PE Ratio Historical Data,PPG Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,111.26,,23.52
2024-12-31,119.45,$4.73,25.25
2024-09-30,131.72,$6.31,20.88
2024-06-30,124.48,$6.10,20.41
2024-03-31,142.58,$5.92,24.08
2023-12-31,146.49,$5.34,27.43
2023-09-30,126.5,$5.97,21.19
2023-06-30,143.86,$5.57,25.83
2023-03-31,128.99,$5.36,24.07
2022-12-31,120.84,$4.33,27.91
2022-09-30,105.81,$4.52,23.41
2022-06-30,108.76,$4.56,23.85
2022-03-31,124.1,$4.51,27.52
2021-12-31,162.63,$6.01,27.06
2021-09-30,134.38,$5.95,22.59
2021-06-30,158.96,$6.38,24.91
2021-03-31,140.27,$5.01,28.0
2020-12-31,134.1,$4.45,30.13
2020-09-30,113.08,$4.53,24.96
2020-06-30,97.78,$4.21,23.23
2020-03-31,76.65,$4.92,15.58
2019-12-31,121.87,$5.21,23.39
2019-09-30,107.77,$5.07,21.26
2019-06-30,105.66,$5.08,20.8
2019-03-31,101.75,$5.45,18.67
2018-12-31,91.76,$5.54,16.56
2018-09-30,97.52,$5.18,18.83
2018-06-30,92.29,$5.99,15.41
2018-03-31,98.88,$6.42,15.4
2017-12-31,103.1,$6.31,16.34
2017-09-30,95.53,$6.89,13.86
2017-06-30,96.25,$3.84,25.07
2017-03-31,91.64,$3.27,28.03
2016-12-31,82.32,$3.27,25.17
2016-09-30,89.41,$3.13,28.57
2016-06-30,89.75,$5.41,16.59
2016-03-31,95.72,$5.27,18.16
2015-12-31,84.52,$5.15,16.41
2015-09-30,74.74,$4.29,17.42
2015-06-30,97.45,$4.03,24.18
2015-03-31,95.64,$4.18,22.91
2014-12-31,97.74,$7.49,13.05
2014-09-30,82.92,$8.08,10.26
2014-06-30,88.27,$7.53,11.72
2014-03-31,80.99,$7.33,11.05
2013-12-31,79.14,$11.00,7.19
2013-09-30,69.48,$10.84,6.41
2013-06-30,60.66,$11.15,5.44
2013-03-31,55.28,$11.15,4.96
2012-12-31,55.61,$3.03,18.35
2012-09-30,46.95,$3.00,15.68
2012-06-30,43.16,$2.89,14.96
2012-03-31,38.75,$2.78,13.96
2011-12-31,33.55,$3.44,9.77
2011-09-30,28.22,$3.36,8.4
2011-06-30,35.98,$3.17,11.35
2011-03-31,37.49,$2.93,12.82
2010-12-31,32.9,$2.32,14.21
2010-09-30,28.29,$2.12,13.35
2010-06-30,23.29,$1.81,12.87
2010-03-31,25.01,$1.44,17.37
2009-12-31,22.19,$1.01,21.97
