Heritage Commerce Corp PE Ratio Historical Data,Heritage Commerce Corp PE Ratio Historical Data,Heritage Commerce Corp PE Ratio Historical Data,Heritage Commerce Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.57,,19.53
2024-12-31,9.38,$0.49,19.14
2024-09-30,9.76,$0.71,13.74
2024-06-30,8.48,$0.80,10.6
2024-03-31,8.23,$0.92,8.95
2023-12-31,9.37,$1.06,8.84
2023-09-30,7.88,$1.18,6.68
2023-06-30,7.6,$1.22,6.23
2023-03-31,7.5,$1.19,6.31
2022-12-31,11.59,$1.09,10.63
2022-09-30,10.02,$0.98,10.22
2022-06-30,9.34,$0.91,10.26
2022-03-31,9.72,$0.82,11.85
2021-12-31,10.2,$0.80,12.75
2021-09-30,9.83,$0.76,12.94
2021-06-30,9.3,$0.72,12.92
2021-03-31,10.1,$0.75,13.47
2020-12-31,7.23,$0.59,12.25
2020-09-30,5.33,$0.50,10.66
2020-06-30,5.9,$0.57,10.35
2020-03-31,5.93,$0.65,9.12
2019-12-31,9.81,$0.90,10.9
2019-09-30,8.9,$1.10,8.09
2019-06-30,9.27,$1.12,8.28
2019-03-31,9.16,$0.88,10.41
2018-12-31,8.51,$0.83,10.25
2018-09-30,11.11,$0.57,19.49
2018-06-30,12.56,$0.51,24.62
2018-03-31,12.1,$0.68,17.8
2017-12-31,11.17,$0.62,18.02
2017-09-30,10.31,$0.77,13.39
2017-06-30,9.91,$0.73,13.58
2017-03-31,10.07,$0.73,13.8
2016-12-31,10.23,$0.72,14.21
2016-09-30,7.69,$0.65,11.84
2016-06-30,7.35,$0.57,12.89
2016-03-31,6.92,$0.52,13.31
2015-12-31,8.19,$0.49,16.72
2015-09-30,7.71,$0.48,16.07
2015-06-30,6.49,$0.49,13.24
2015-03-31,6.11,$0.45,13.57
2014-12-31,5.85,$0.42,13.94
2014-09-30,5.41,$0.41,13.2
2014-06-30,5.35,$0.40,13.38
2014-03-31,5.25,$0.39,13.47
2013-12-31,5.34,$0.36,14.84
2013-09-30,4.94,$0.34,14.53
2013-06-30,4.5,$0.32,14.07
2013-03-31,4.33,$0.31,13.96
2012-12-31,4.49,$0.27,16.63
2012-09-30,4.46,$0.26,17.17
2012-06-30,4.18,$0.31,13.49
2012-03-31,4.14,$0.28,14.77
2011-12-31,3.05,$0.28,10.89
2011-09-30,2.48,$0.24,10.32
2011-06-30,3.29,$0.12,27.39
2011-03-31,2.99,$-4.59,0.0
2010-12-31,2.89,$-5.02,0.0
2010-09-30,2.25,$-5.15,0.0
2010-06-30,2.36,$-5.39,0.0
2010-03-31,2.69,$-1.24,0.0
2009-12-31,2.59,$-1.22,0.0
