Spruce Biosciences PE Ratio Historical Data,Spruce Biosciences PE Ratio Historical Data,Spruce Biosciences PE Ratio Historical Data,Spruce Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.34,,0.0
2024-09-30,0.47,$-0.94,0.0
2024-06-30,0.52,$-1.03,0.0
2024-03-31,0.79,$-1.13,0.0
2023-12-31,2.93,$-1.25,0.0
2023-09-30,2.26,$-1.49,0.0
2023-06-30,2.15,$-1.67,0.0
2023-03-31,2.21,$-1.86,0.0
2022-12-31,1.1,$-1.96,0.0
2022-09-30,1.37,$-1.88,0.0
2022-06-30,1.74,$-1.89,0.0
2022-03-31,2.01,$-1.88,0.0
2021-12-31,4.46,$-1.80,0.0
2021-09-30,6.01,$-1.80,0.0
