Provident Financial Services PE Ratio Historical Data,Provident Financial Services PE Ratio Historical Data,Provident Financial Services PE Ratio Historical Data,Provident Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.97,,16.16
2024-12-31,18.87,$1.05,17.97
2024-09-30,18.35,$1.04,17.65
2024-06-30,14.0,$1.06,13.21
2024-03-31,14.0,$1.60,8.75
2023-12-31,17.05,$1.71,9.97
2023-09-30,14.22,$2.01,7.08
2023-06-30,15.0,$2.21,6.79
2023-03-31,17.33,$2.31,7.5
2022-12-31,19.1,$2.35,8.13
2022-09-30,17.25,$2.18,7.91
2022-06-30,19.5,$2.09,9.33
2022-03-31,20.28,$2.14,9.47
2021-12-31,20.78,$2.19,9.49
2021-09-30,19.95,$2.23,8.94
2021-06-30,19.25,$2.11,9.13
2021-03-31,18.57,$1.75,10.61
2020-12-31,14.8,$1.35,10.96
2020-09-30,9.89,$1.22,8.11
2020-06-30,11.53,$1.34,8.6
2020-03-31,10.06,$1.50,6.7
2019-12-31,19.08,$1.75,10.91
2019-09-30,18.82,$1.90,9.9
2019-06-30,18.6,$1.95,9.54
2019-03-31,19.68,$1.87,10.53
2018-12-31,18.06,$1.82,9.92
2018-09-30,18.21,$1.57,11.6
2018-06-30,20.26,$1.44,14.07
2018-03-31,18.69,$1.52,12.3
2017-12-31,19.55,$1.46,13.39
2017-09-30,19.08,$1.51,12.63
2017-06-30,18.01,$1.46,12.33
2017-03-31,18.2,$1.42,12.82
2016-12-31,19.78,$1.38,14.34
2016-09-30,14.73,$1.37,10.75
2016-06-30,13.51,$1.34,10.08
2016-03-31,13.76,$1.35,10.19
2015-12-31,13.61,$1.34,10.15
2015-09-30,13.06,$1.34,9.75
2015-06-30,12.62,$1.31,9.63
2015-03-31,12.28,$1.24,9.9
2014-12-31,11.79,$1.22,9.66
2014-09-30,10.6,$1.18,8.98
2014-06-30,11.11,$1.16,9.58
2014-03-31,11.69,$1.22,9.58
2013-12-31,12.18,$1.23,9.9
2013-09-30,10.14,$1.22,8.31
2013-06-30,9.79,$1.22,8.02
2013-03-31,9.39,$1.16,8.09
2012-12-31,9.09,$1.17,7.77
2012-09-30,9.4,$1.14,8.25
2012-06-30,9.06,$1.13,8.02
2012-03-31,8.5,$1.10,7.73
2011-12-31,7.77,$1.01,7.69
2011-09-30,6.18,$0.96,6.44
2011-06-30,8.15,$0.93,8.77
2011-03-31,8.35,$0.91,9.18
2010-12-31,8.48,$0.88,9.63
2010-09-30,6.87,$0.79,8.7
2010-06-30,6.44,$0.70,9.19
2010-03-31,6.5,$0.58,11.2
2009-12-31,5.75,$-2.18,0.0
