Theriva Biologics PE Ratio Historical Data,Theriva Biologics PE Ratio Historical Data,Theriva Biologics PE Ratio Historical Data,Theriva Biologics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.2,,0.0
2024-12-31,1.75,$-25.06,0.0
2024-09-30,1.38,$-33.06,0.0
2024-06-30,5.91,$-31.00,0.0
2024-03-31,11.73,$-28.75,0.0
2023-12-31,10.75,$-28.75,0.0
2023-09-30,13.48,$-29.75,0.0
2023-06-30,25.0,$-33.25,0.0
2023-03-31,17.46,$-32.50,0.0
2022-12-31,11.37,$-32.50,0.0
2022-09-30,24.65,$-33.50,0.0
2022-06-30,53.33,$-30.25,0.0
2022-03-31,71.33,$-27.50,0.0
2021-12-31,68.05,$-52.50,0.0
2021-09-30,114.88,$-77.50,0.0
2021-06-30,150.6,$-107.50,0.0
2021-03-31,170.55,$-147.50,0.0
2020-12-31,95.75,$-165.00,0.0
2020-09-30,118.68,$-177.50,0.0
2020-06-30,127.78,$-220.00,0.0
2020-03-31,80.38,$-232.50,0.0
2019-12-31,126.73,$-245.00,0.0
2019-09-30,113.43,$-477.50,0.0
2019-06-30,137.5,$-632.50,0.0
2019-03-31,169.73,$-837.24,0.0
2018-12-31,140.0,$-949.56,0.0
2018-09-30,650.0,$-494.74,0.0
2018-06-30,2091.25,"$-1,486.01",0.0
2018-03-31,2786.0,"$-1,486.01",0.0
2017-12-31,4445.0,"$-1,486.01",0.0
2017-09-30,8164.62,"$-1,835.66",0.0
2017-06-30,4948.12,"$-1,398.60",0.0
2017-03-31,5518.62,"$-2,010.49",0.0
2016-12-31,6672.75,"$-2,884.62",0.0
2016-09-30,15050.0,"$-3,758.74",0.0
2016-06-30,15750.0,"$-4,020.98",0.0
2016-03-31,20650.0,"$-4,807.69",0.0
2015-12-31,20037.5,"$-5,244.76",0.0
2015-09-30,19862.5,"$-5,069.93",0.0
2015-06-30,24937.5,"$-4,720.28",0.0
2015-03-31,19162.5,"$-3,758.74",0.0
2014-12-31,12775.0,"$-2,884.62",0.0
2014-09-30,15575.0,"$-2,797.20",0.0
2014-06-30,15050.0,"$-2,797.20",0.0
2014-03-31,22487.5,"$-2,622.38",0.0
2013-12-31,13387.5,"$-2,447.55",0.0
2013-09-30,14700.0,"$-1,660.84",0.0
2013-06-30,15050.0,"$-1,398.60",0.0
2013-03-31,14875.0,"$-1,311.19",0.0
2012-12-31,15400.0,"$-1,223.78",0.0
2012-09-30,18200.0,"$-1,223.78",0.0
2012-06-30,17325.0,"$-1,136.36",0.0
2012-03-31,19250.0,"$-1,223.78",0.0
2011-12-31,11025.0,"$-1,660.84",0.0
2011-09-30,5136.25,"$-2,010.49",0.0
2011-06-30,7525.87,"$-1,923.08",0.0
2011-03-31,15225.0,"$-1,048.95",0.0
2010-12-31,10937.5,$-699.30,0.0
2010-09-30,6803.12,$-874.13,0.0
2010-06-30,9625.87,$-874.14,0.0
2010-03-31,16887.5,"$-1,573.44",0.0
2009-12-31,4900.0,"$-1,573.45",0.0
