BRF S.A PE Ratio Historical Data,BRF S.A PE Ratio Historical Data,BRF S.A PE Ratio Historical Data,BRF S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.47,,8.07
2024-09-30,4.27,$0.43,9.92
2024-06-30,3.97,$0.27,14.72
2024-03-31,3.18,$0.05,63.67
2023-12-31,2.71,$-0.19,0.0
2023-09-30,2.0,$-0.34,0.0
2023-06-30,1.86,$-0.31,0.0
2023-03-31,1.25,$-0.30,0.0
2022-12-31,1.54,$-0.42,0.0
2022-09-30,2.29,$-0.21,0.0
2022-06-30,2.5,$-0.26,0.0
2022-03-31,3.88,$-0.22,0.0
2021-12-31,3.99,$0.09,44.38
2021-09-30,4.9,$0.09,54.47
2021-06-30,5.34,$0.21,25.44
2021-03-31,4.38,$0.34,12.9
2020-12-31,4.1,$0.32,12.82
2020-09-30,3.2,$0.31,10.33
2020-06-30,3.88,$0.35,11.08
2020-03-31,2.83,$0.38,7.45
2019-12-31,8.5,$0.06,141.59
2019-09-30,8.94,$-0.83,0.0
2019-06-30,7.42,$-1.17,0.0
2019-03-31,5.68,$-1.81,0.0
2018-12-31,5.55,$-1.53,0.0
2018-09-30,5.35,$-1.14,0.0
2018-06-30,4.57,$-0.84,0.0
2018-03-31,6.76,$-0.37,0.0
2017-12-31,11.0,$-0.43,0.0
2017-09-30,14.07,$-0.30,0.0
2017-06-30,11.51,$-0.34,0.0
2017-03-31,11.96,$-0.26,0.0
2016-12-31,14.41,$-0.14,0.0
2016-09-30,16.66,$0.32,52.06
2016-06-30,13.43,$0.49,27.4
2016-03-31,13.71,$0.88,15.57
2015-09-30,16.89,$1.19,14.2
2015-03-31,18.65,$1.04,17.93
2014-12-31,21.84,$1.02,21.41
2014-09-30,22.25,$0.72,30.9
2014-06-30,22.39,$0.55,40.72
2014-03-31,18.55,$0.52,35.67
2013-12-31,19.21,$0.57,33.7
2013-09-30,22.58,$0.80,28.22
2013-06-30,19.81,$0.70,28.3
2013-03-31,20.15,$0.59,34.15
2012-12-31,19.15,$0.48,39.9
2012-09-30,15.7,$0.23,68.24
2012-06-30,13.78,$0.42,32.81
2012-03-31,18.09,$0.78,23.19
2011-12-31,17.67,$0.94,18.8
2011-09-30,15.68,$1.11,14.12
2011-06-30,15.5,$1.00,15.5
2011-03-31,16.87,$0.72,23.43
2010-12-31,14.91,$0.49,30.44
2010-09-30,13.61,$0.26,52.33
2010-06-30,11.62,$0.28,42.25
2010-03-31,12.01,$0.28,42.88
2009-12-31,11.44,$0.12,95.36
