Splash Beverage PE Ratio Historical Data,Splash Beverage PE Ratio Historical Data,Splash Beverage PE Ratio Historical Data,Splash Beverage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-14,0.07,,0.0
2024-09-30,0.25,$-0.43,0.0
2024-06-30,0.23,$-0.48,0.0
2024-03-31,0.46,$-0.50,0.0
2023-12-31,0.55,$-0.55,0.0
2023-09-30,0.59,$-0.41,0.0
2023-06-30,1.12,$-0.42,0.0
2023-03-31,1.64,$-0.45,0.0
2022-12-31,0.96,$-0.46,0.0
2022-09-30,1.37,$-0.46,0.0
2022-06-30,2.99,$-0.72,0.0
2022-03-31,2.84,$-0.80,0.0
