Donaldson PE Ratio Historical Data,Donaldson PE Ratio Historical Data,Donaldson PE Ratio Historical Data,Donaldson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.85,,19.84
2025-01-31,71.19,$3.42,20.82
2024-10-31,72.89,$3.44,21.19
2024-07-31,74.26,$3.38,21.97
2024-04-30,71.4,$3.23,22.1
2024-01-31,63.64,$3.07,20.73
2023-10-31,56.58,$2.96,19.11
2023-07-31,61.41,$2.91,21.1
2023-04-30,61.85,$2.97,20.83
2023-01-31,60.46,$2.88,20.99
2022-10-31,55.5,$2.75,20.18
2022-07-31,52.35,$2.66,19.68
2022-04-30,46.98,$2.51,18.72
2022-01-31,53.1,$2.50,21.24
2021-10-31,57.04,$2.37,24.07
2021-07-31,62.71,$2.24,27.99
2021-04-30,59.36,$2.08,28.54
2021-01-31,55.92,$1.92,29.13
2020-10-31,44.52,$1.98,22.48
2020-07-31,45.12,$2.01,22.45
2020-04-30,40.73,$1.96,20.78
2020-01-31,47.99,$2.04,23.52
2019-10-31,48.63,$2.00,24.31
2019-07-31,45.85,$2.05,22.37
2019-04-30,48.94,$2.38,20.56
2019-01-31,43.05,$2.33,18.48
2018-10-31,46.51,$1.47,31.64
2018-07-31,43.08,$1.37,31.45
2018-04-30,39.82,$1.10,36.2
2018-01-31,45.4,$1.02,44.51
2017-10-31,42.15,$1.77,23.82
2017-07-31,42.24,$1.74,24.28
2017-04-30,41.01,$1.67,24.56
2017-01-31,37.28,$1.63,22.87
2016-10-31,32.1,$1.56,20.57
2016-07-31,31.6,$1.42,22.26
2016-04-30,28.45,$1.39,20.47
2016-01-31,24.38,$1.31,18.61
2015-10-31,25.98,$1.38,18.83
2015-07-31,28.76,$1.49,19.3
2015-04-30,31.84,$1.58,20.15
2015-01-31,31.01,$1.71,18.13
2014-10-31,35.12,$1.75,20.07
2014-07-31,32.63,$1.76,18.54
2014-04-30,35.26,$1.74,20.26
2014-01-31,34.45,$1.74,19.8
2013-10-31,32.96,$1.69,19.5
2013-07-31,30.06,$1.64,18.33
2013-04-30,30.06,$1.63,18.44
2013-01-31,31.0,$1.63,19.02
2012-10-31,26.52,$1.64,16.17
2012-07-31,27.98,$1.73,16.17
2012-04-30,28.34,$1.68,16.87
2012-01-31,29.5,$1.62,18.26
2011-10-31,26.07,$1.55,16.88
2011-07-31,22.48,$1.44,15.66
2011-04-30,24.78,$1.34,18.49
2011-01-31,23.66,$1.26,18.85
2010-10-31,19.63,$1.17,16.78
2010-07-31,19.07,$1.05,18.16
2010-04-30,18.55,$0.88,21.2
2010-01-31,15.27,$0.74,20.78
2009-10-31,14.21,$0.76,18.82
