Blue Ridge Bankshares PE Ratio Historical Data,Blue Ridge Bankshares PE Ratio Historical Data,Blue Ridge Bankshares PE Ratio Historical Data,Blue Ridge Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.33,,0.0
2024-12-31,3.22,$-0.64,0.0
2024-09-30,2.8,$-0.91,0.0
2024-06-30,2.61,$-3.10,0.0
2024-03-31,2.69,$-3.66,0.0
2023-12-31,3.03,$-3.42,0.0
2023-09-30,4.52,$-2.79,0.0
2023-06-30,8.85,$-0.46,0.0
2023-03-31,10.2,$0.63,16.19
2022-12-31,12.49,$1.49,8.38
2022-09-30,12.59,$1.84,6.84
2022-06-30,15.18,$2.05,7.4
