Bar Harbor Bankshares PE Ratio Historical Data,Bar Harbor Bankshares PE Ratio Historical Data,Bar Harbor Bankshares PE Ratio Historical Data,Bar Harbor Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.58,,10.73
2024-12-31,30.58,$2.85,10.73
2024-09-30,30.58,$2.78,11.0
2024-06-30,26.38,$2.71,9.73
2024-03-31,25.7,$2.75,9.35
2023-12-31,28.18,$2.95,9.55
2023-09-30,22.44,$3.13,7.17
2023-06-30,23.15,$3.16,7.33
2023-03-31,24.55,$3.15,7.79
2022-12-31,29.49,$2.89,10.2
2022-09-30,24.2,$2.71,8.93
2022-06-30,23.4,$2.68,8.73
2022-03-31,25.63,$2.58,9.93
2021-12-31,25.7,$2.61,9.85
2021-09-30,24.73,$2.54,9.74
2021-06-30,25.02,$2.37,10.56
2021-03-31,25.51,$2.32,11.0
2020-12-31,19.42,$2.19,8.87
2020-09-30,17.51,$1.88,9.31
2020-06-30,18.88,$1.64,11.51
2020-03-31,14.39,$1.48,9.72
2019-12-31,20.94,$1.45,14.44
2019-09-30,20.39,$1.67,12.21
2019-06-30,21.74,$1.93,11.27
2019-03-31,20.98,$2.09,10.04
2018-12-31,18.04,$2.12,8.51
2018-09-30,22.92,$2.06,11.13
2018-06-30,24.01,$2.04,11.77
2018-03-31,21.83,$1.91,11.43
2017-12-31,21.13,$1.70,12.43
2017-09-30,24.37,$1.55,15.72
2017-06-30,23.77,$1.38,17.19
2017-03-31,25.35,$1.44,17.65
2016-12-31,24.02,$1.63,14.77
2016-09-30,18.5,$1.73,10.71
2016-06-30,17.55,$1.77,9.93
2016-03-31,16.47,$1.72,9.57
2015-12-31,16.92,$1.67,10.15
2015-09-30,15.61,$1.63,9.56
2015-06-30,17.16,$1.63,10.5
2015-03-31,15.65,$1.64,9.54
2014-12-31,15.27,$1.64,9.34
2014-09-30,13.7,$1.65,8.29
2014-06-30,13.09,$1.62,8.1
2014-03-31,11.9,$1.54,7.74
2013-12-31,12.3,$1.48,8.31
2013-09-30,11.22,$1.44,7.81
2013-06-30,11.05,$1.42,7.77
2013-03-31,10.96,$1.42,7.73
2012-12-31,10.0,$1.41,7.08
2012-09-30,10.53,$1.36,7.71
2012-06-30,10.51,$1.32,7.94
2012-03-31,9.63,$1.29,7.45
2011-12-31,8.6,$1.26,6.83
2011-09-30,7.96,$1.22,6.51
2011-06-30,7.94,$1.21,6.54
2011-03-31,8.43,$1.21,6.97
2010-12-31,8.02,$1.16,6.9
2010-09-30,7.58,$1.16,6.56
2010-06-30,6.77,$1.24,5.44
2010-03-31,8.19,$1.31,6.27
2009-12-31,7.3,$1.39,5.25
