IHeartMedia PE Ratio Historical Data,IHeartMedia PE Ratio Historical Data,IHeartMedia PE Ratio Historical Data,IHeartMedia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.68,,0.0
2024-12-31,1.98,$-6.67,0.0
2024-09-30,1.85,$-6.80,0.0
2024-06-30,1.09,$-6.59,0.0
2024-03-31,2.09,$-6.02,0.0
2023-12-31,2.67,$-7.40,0.0
2023-09-30,3.16,$-6.95,0.0
2023-06-30,3.64,$-8.98,0.0
2023-03-31,3.9,$-2.95,0.0
2022-12-31,6.13,$-1.78,0.0
2022-09-30,7.33,$-1.56,0.0
2022-06-30,7.89,$0.55,14.35
2022-03-31,18.93,$0.23,82.3
2021-12-31,21.04,$-1.09,0.0
2021-09-30,25.02,$-1.83,0.0
2021-06-30,26.93,$-2.07,0.0
2021-03-31,18.15,$-3.20,0.0
2020-12-31,12.98,$-13.15,0.0
2020-09-30,8.12,$-13.17,0.0
2020-06-30,8.35,$-12.87,0.0
