First Commonwealth Financial PE Ratio Historical Data,First Commonwealth Financial PE Ratio Historical Data,First Commonwealth Financial PE Ratio Historical Data,First Commonwealth Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.71,,11.3
2024-12-31,16.92,$1.39,12.17
2024-09-30,17.03,$1.48,11.51
2024-06-30,13.61,$1.55,8.78
2024-03-31,13.59,$1.61,8.44
2023-12-31,14.93,$1.54,9.69
2023-09-30,11.69,$1.48,7.9
2023-06-30,12.0,$1.46,8.22
2023-03-31,11.67,$1.37,8.52
2022-12-31,13.01,$1.36,9.57
2022-09-30,11.86,$1.35,8.78
2022-06-30,12.29,$1.35,9.11
2022-03-31,13.77,$1.33,10.35
2021-12-31,14.51,$1.45,10.01
2021-09-30,12.2,$1.35,9.04
2021-06-30,12.49,$1.19,10.49
2021-03-31,12.66,$1.12,11.3
2020-12-31,9.55,$0.76,12.57
2020-09-30,6.67,$0.76,8.78
2020-06-30,7.04,$0.83,8.48
2020-03-31,7.66,$0.87,8.81
2019-12-31,12.07,$1.07,11.28
2019-09-30,10.97,$1.07,10.26
2019-06-30,11.05,$1.05,10.52
2019-03-31,10.26,$1.09,9.41
2018-12-31,9.76,$1.08,9.04
2018-09-30,12.95,$0.85,15.24
2018-06-30,12.38,$0.82,15.1
2018-03-31,11.21,$0.64,17.52
2017-12-31,11.3,$0.58,19.49
2017-09-30,11.09,$0.74,14.99
2017-06-30,9.89,$0.71,13.93
2017-03-31,10.28,$0.71,14.48
2016-12-31,10.93,$0.67,16.32
2016-09-30,7.72,$0.58,13.32
2016-06-30,6.99,$0.53,13.19
2016-03-31,6.68,$0.54,12.37
2015-12-31,6.78,$0.56,12.11
2015-09-30,6.75,$0.53,12.73
2015-06-30,7.07,$0.52,13.59
2015-03-31,6.58,$0.50,13.16
2014-12-31,6.69,$0.47,14.23
2014-09-30,6.04,$0.49,12.33
2014-06-30,6.58,$0.52,12.66
2014-03-31,6.4,$0.45,14.23
2013-12-31,6.19,$0.43,14.4
2013-09-30,5.29,$0.42,12.6
2013-06-30,5.1,$0.35,14.57
2013-03-31,5.12,$0.41,12.48
2012-12-31,4.64,$0.41,11.33
2012-09-30,4.76,$0.27,17.64
2012-06-30,4.52,$0.26,17.37
2012-03-31,4.07,$0.21,19.4
2011-12-31,3.48,$0.15,23.22
2011-09-30,2.43,$0.31,7.85
2011-06-30,3.76,$0.34,11.04
2011-03-31,4.46,$0.42,10.62
2010-12-31,4.59,$0.22,20.86
2010-09-30,3.53,$0.15,23.51
2010-06-30,3.39,0,0.0
2010-03-31,4.33,$-0.37,0.0
2009-12-31,2.98,$-0.20,0.0
