Skillsoft PE Ratio Historical Data,Skillsoft PE Ratio Historical Data,Skillsoft PE Ratio Historical Data,Skillsoft PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.81,,0.0
2024-10-31,15.27,$-41.50,0.0
2024-07-31,17.2,$-42.09,0.0
2024-04-30,7.19,$-41.25,0.0
2024-01-31,14.02,$-43.23,0.0
2023-10-31,18.8,$-19.45,0.0
2023-07-31,26.4,$-80.20,0.0
2023-04-30,24.6,$-91.00,0.0
2023-01-31,38.4,$-88.60,0.0
2022-10-31,35.8,$-80.80,0.0
2022-07-31,76.8,$-23.00,0.0
2022-04-30,107.0,$-8.20,0.0
2022-01-31,148.4,$-5.20,0.0
2021-10-31,242.6,$-6.40,0.0
2021-07-31,174.0,0,0.0
2021-04-30,199.4,0,0.0
2021-03-31,200.0,0,0.0
2021-01-31,202.2,0,0.0
2020-12-31,207.0,0,0.0
2020-10-31,199.4,0,0.0
2020-09-30,211.0,0,0.0
2020-07-31,212.8,0,0.0
2020-06-30,226.0,0,0.0
2020-03-31,199.0,0,0.0
