Logility Supply Chain Solutions PE Ratio Historical Data,Logility Supply Chain Solutions PE Ratio Historical Data,Logility Supply Chain Solutions PE Ratio Historical Data,Logility Supply Chain Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.24,,0.0
2025-01-31,14.12,$-0.01,0.0
2024-10-31,10.45,$0.19,54.98
2024-07-31,10.72,$0.32,33.49
2024-04-30,9.8,$0.34,28.81
2024-01-31,10.87,$0.35,31.06
2023-10-31,10.42,$0.33,31.58
2023-07-31,10.85,$0.32,33.89
2023-04-30,11.13,$0.30,37.1
2023-01-31,14.08,$0.32,44.0
2022-10-31,15.75,$0.31,50.81
2022-07-31,16.34,$0.35,46.7
2022-04-30,15.53,$0.38,40.86
2022-01-31,20.77,$0.37,56.13
2021-10-31,26.04,$0.35,74.4
2021-07-31,19.7,$0.27,72.98
2021-04-30,18.43,$0.24,76.79
2021-01-31,17.02,$0.17,100.11
2020-10-31,12.92,$0.20,64.61
2020-07-31,14.41,$0.23,62.63
2020-04-30,14.32,$0.21,68.17
2020-01-31,12.88,$0.25,51.51
2019-10-31,13.89,$0.22,63.13
2019-07-31,11.41,$0.21,54.34
2019-04-30,11.0,$0.21,52.4
2019-01-31,9.31,$0.19,48.98
2018-10-31,9.59,$0.30,31.98
2018-07-31,12.39,$0.34,36.43
2018-04-30,10.48,$0.39,26.87
2018-01-31,10.19,$0.69,14.77
2017-10-31,10.0,$0.59,16.95
2017-07-31,7.73,$0.52,14.86
2017-04-30,8.65,$0.49,17.66
2017-01-31,8.18,$0.27,30.31
2016-10-31,8.05,$0.26,30.96
2016-07-31,8.43,$0.32,26.34
2016-04-30,6.91,$0.35,19.73
2016-01-31,7.27,$0.32,22.72
2015-10-31,7.57,$0.35,21.63
2015-07-31,6.75,$0.32,21.09
2015-04-30,7.04,$0.28,25.13
2015-01-31,5.94,$0.28,21.21
2014-10-31,6.85,$0.27,25.37
2014-07-31,6.53,$0.36,18.14
2014-04-30,6.69,$0.37,18.07
2014-01-31,6.92,$0.39,17.75
2013-10-31,5.95,$0.38,15.65
2013-07-31,6.16,$0.35,17.59
2013-04-30,5.65,$0.38,14.86
2013-01-31,5.84,$0.40,14.61
2012-10-31,5.29,$0.42,12.6
2012-07-31,5.15,$0.43,11.98
2012-04-30,5.24,$0.43,12.18
2012-01-31,5.61,$0.40,14.04
2011-10-31,4.84,$0.37,13.09
2011-07-31,5.23,$0.32,16.34
2011-04-30,4.7,$0.28,16.77
2011-01-31,4.0,$0.23,17.37
2010-10-31,3.55,$0.23,15.42
2010-07-31,2.9,$0.22,13.16
2010-04-30,3.64,$0.22,16.52
2010-01-31,3.07,$0.21,14.62
2009-10-31,3.59,$0.17,21.13
